Pāli1	POS	Pattern	count
ayya	masc	a masc	678.0
brahma	masc	brahma masc	670.0
sikkhāpada	nt	a nt	665.0
aṭṭha	card	a1 card	662.0
avoca	aor	avoca aor	661.0
dibba	adj	a adj	657.0
pabbajita	pp	a pp	656.0
cīvara	nt	a nt	655.0
paṇḍita	masc	a masc	654.0
sayaṃ	ind		653.0
devatā	fem	ā fem	643.0
ādīnava	masc	a masc	642.0
katvā	abs		637.0
aññatra	ind		632.0
upāsaka	masc	a masc	632.0
pañcama	ordin	a ordin	624.0
dāna	nt	a nt	623.0
saṃyojana	nt	a nt	623.0
ni	abbrev		617.0
samanupassati	pr	ati pr	617.0
āgacchati	pr	ati pr	613.0
taṇhā	fem	ā fem	607.0
nirodha	masc	a masc	604.0
chanda	masc	a masc	595.0
paññapeti	pr	eti pr	595.0
diṭṭhi	fem	i fem	594.0
dassana	nt	a nt	589.0
nūna	ind		589.0
yato	ind		588.0
paccaya	masc	a masc	579.0
sampajāna	adj	a adj	579.0
rāga	masc	a masc	578.0
paññāya	ger		577.0
ādāya	ger		576.0
pucchati	pr	ati pr	575.0
sattama	ordin	a ordin east	575.0
āpajjati	pr	ati pr	575.0
pubbe	ind		573.0
udaka	nt	a nt	573.0
māṇava	masc	a masc	571.0
kassapa	masc	a masc	566.0
patta	pp	a pp	560.0
itthī	fem	ī fem	554.0
disā	fem	ā fem	547.0
dasa	card	a1 card	544.0
santike	ind		543.0
vihāra	masc	a masc	543.0
bhuñjati	pr	ati pr	542.0
gāthā	fem	ā fem	536.0
anagāriya	nt	a nt	536.0
byākaroti	pr	oti pr	535.0
patta	masc	a masc	534.0
aṭṭha	abbrev		533.0
nibbāna	nt	a nt	532.0
gata	pp	a pp	530.0
udāyī	masc	ī masc	530.0
ātāpī	adj	ī adj	528.0
sutvā	abs		526.0
dosa	masc	a masc	524.0
udapādi	aor	i aor	519.0
sīlavant	adj	ant adj	517.0
puṭṭha	pp	a pp	517.0
khaya	masc	a masc	514.0
paññāyati	pr	ati pr	513.0
pañha	masc	a masc	512.0
pārājika	nt	a nt	511.0
alaṃ	ind		506.0
nāga	masc	a masc	505.0
saddhā	fem	ā fem	503.0
chaṭṭha	ordin	a ordin	502.0
manāpa	adj	a adj	502.0
māra	masc	a masc	502.0
assosi	aor	assosi aor	501.0
parisā	fem	parisā fem	501.0
veditabba	ptp	a ptp	500.0
kula	nt	a nt	500.0
jīvita	nt	a nt	492.0
piya	adj	a adj	489.0
sagga	masc	a masc	489.0
pāda	masc	a masc	488.0
sadda	masc	a masc	488.0
yadi	ind		484.0
sugata	adj	a adj	483.0
sugata	masc	a masc	483.0
uddāna	nt	a nt	482.0
ubha	pron	ubha pron	481.0
parisuddha	pp	a pp	481.0
khattiya	masc	a masc	479.0
pahātabba	ptp	a ptp	478.0
eti	pr	eti pr 2	477.0
pāpa	adj	aī adj	477.0
pāpa	nt	a nt	477.0
ayyā	fem	ā fem	476.0
pariyāya	masc	a masc	476.0
āyatiṃ	ind		475.0
bhoga	masc	a masc	474.0
bhaṇati	pr	ati pr	469.0
gāma	masc	a masc	468.0
ñāṇa	nt	a nt	467.0
phassa	masc	a masc	467.0
aṭṭhama	ordin	a ordin	464.0
apara	adj	a adj	464.0
bāla	masc	a masc	462.0
nappajānāti	pr	āti pr	462.0
vassa	nt	a nt	462.0
karissati	fut	karoti pr	461.0
paññatta	pp	a pp	461.0
nissaggiya	ptp	a ptp	460.0
dāni	ind		458.0
viditvā	abs		454.0
nissaraṇa	nt	a nt	453.0
sabbaso	ind		450.0
virāga	masc	a masc	449.0
piṇḍa	masc	a masc	448.0
bahiddhā	ind		447.0
paṭipanna	pp	a pp	444.0
sikkhā	fem	ā fem	443.0
maha	adj	a adj	440.0
pajahati	pr	ati pr	440.0
moha	masc	a masc	437.0
rasa	masc	a masc	437.0
dasama	ordin	a ordin	436.0
nicca	adj	a adj	436.0
sikkhati	pr	ati pr	436.0
kosala	masc	a masc	435.0
viññū	masc	ū masc	431.0
jivhā	fem	ā fem	431.0
samādapeti	pr	eti pr	430.0
khiyyati	pr	ati pr	428.0
anuruddha	masc	a masc	424.0
nibbindati	pr	ati pr	423.0
paṇīta	adj	a adj	420.0
saraṇa	nt	a nt	416.0
pathavī	fem	ī fem	413.0
ujjhāyati	pr	ati pr	412.0
addasā	imperf	addasā imperf	410.0
mātar	fem	ar fem	410.0
vipāceti	pr	eti pr	410.0
karitvā	abs		406.0
nirujjhati	pr	ati pr	406.0
navama	ordin	a ordin	405.0
piṇḍāya	masc	a masc	404.0
dassanāya	nt	a nt	403.0
vitthārena	ind		401.0
amu	pron	amu pron	400.0
kareyya	opt	eyya opt	400.0
pitar	masc	ar2 masc	399.0
bala	nt	a nt	398.0
jana	masc	a masc	396.0
sukhāya	nt	a nt	396.0
hita	nt	a nt	394.0
uddisati	pr	ati pr	394.0
bhaginī	fem	ī fem	392.0
bhojana	nt	a nt	392.0
abhikkanta	adj	a adj	391.0
vimutta	pp	a pp	391.0
sugati	fem	i fem	388.0
vipāka	masc	a masc	388.0
vematika	adj	a adj	388.0
hīna	adj	a adj	388.0
amhākaṃ	pron	ahaṃ pron	387.0
paccassosi	aor	i aor	385.0
saṃkhitta	pp	a pp	385.0
vacana	nt	a nt	383.0
satimant	adj	ant adj	380.0
uṭṭhāya	ger		379.0
mārisa	masc	a masc	377.0
gandha	masc	a masc	375.0
samudaya	masc	a masc	374.0
duggati	fem	i fem	374.0
abhabba	adj	a adj	373.0
accaya	masc	a masc	373.0
itthatta	nt	a nt	373.0
bhaya	nt	a nt	371.0
pasāda	masc	a masc	371.0
parikkhaya	masc	a masc	370.0
pāṭikaṅkha	adj	a adj	368.0
abhiññāya	ger		366.0
appamatta	adj	a adj	366.0
hitāya	nt	a nt	365.0
kathā	fem	ā fem	365.0
indriya	nt	a nt	362.0
phala	nt	a nt	361.0
ārocesi	aor	esi aor	357.0
vīriya	nt	a nt	357.0
anussarati	pr	ati pr	356.0
bhaṇanta	prp	anta prp	354.0
dissati	pr	ati pr	354.0
kukkucca	nt	a nt	351.0
lābha	masc	a masc	351.0
sameti	pr	eti pr	351.0
sambahula	adj	a adj	350.0
karonta	prp	onta prp	350.0
pāpimant	adj	ant adj	349.0
kacci	ind		345.0
upapanna	pp	a pp	344.0
yadā	ind		343.0
desita	pp	a pp	341.0
sota	nt	a nt	341.0
upasampanna	pp	a pp	341.0
dakkhiṇa	adj	a adj	338.0
vijjā	fem	ā fem	338.0
upasampanna	masc	a masc	338.0
anatta	masc	a2 masc	338.0
anatta	adj	a adj	338.0
acchariya	adj	a adj	338.0
aṅga	nt	a nt	336.0
sarīra	nt	a nt	336.0
aggi	masc	i masc	335.0
appasanna	adj	a adj	335.0
nadī	fem	nadī fem	335.0
ve	ind		334.0
anuppanna	pp	a pp	333.0
kumāra	masc	a masc	331.0
paṭisaṃvedeti	pr	eti pr	331.0
ito	ind		329.0
bhūta	pp	a pp	329.0
vattha	nt	a nt	327.0
sata	card	a2 card	327.0
sāraṇīya	adj	a adj	325.0
abbhuta	adj	a adj	322.0
lābhī	adj	ī adj	321.0
gahetvā	abs		320.0
garu	adj	u adj	320.0
garu	masc	u masc	320.0
pasenadi	masc	i masc	320.0
tāta	masc	a masc	318.0
sevitabba	ptp	a ptp	318.0
pahīyati	pr	ati pr	318.0
appiccha	adj	a adj	317.0
veramaṇī	fem	ī fem	317.0
api nu	ind		317.0
assāda	masc	a masc	316.0
kālena	ind		316.0
addasa	aor	ddasa aor	315.0
desessati	fut	ssati fut	315.0
cunda	masc	a masc	314.0
senāsana	nt	a nt	314.0
tāva	ind		314.0
nigaṇṭha	masc	a masc	313.0
upeti	pr	eti pr	312.0
samma	ind		312.0
uppāda	masc	a masc	311.0
aññatitthiya	adj	a adj	310.0
pabbajati	pr	ati pr	310.0
dadāti	pr	āti pr	309.0
ettāvatā	ind		308.0
āhari	aor	hari aor	306.0
brūti	pr	brūti pr	306.0
nikkhitta	pp	a pp	306.0
nissāya	ger		306.0
jāta	pp	a pp	305.0
saṃkhittena	ind		305.0
musā	ind		304.0
agga	adj	a adj	303.0
tu	ind		302.0
disvāna	abs		300.0
vāseṭṭha	masc	a masc	300.0
byākareyya	opt	eyya opt	300.0
sahabyatā	fem	ā fem	299.0
vipassī	masc	ī masc	299.0
channa	pp	a pp	298.0
moggallāna	masc	a masc	298.0
sikkhitabba	ptp	a ptp	298.0
pajā	fem	ā fem	297.0
yakkha	masc	a masc	296.0
vinipāta	masc	a masc	295.0
phoṭṭhabba	ptp	a ptp	295.0
iha	ind		294.0
vinaya	masc	a masc	293.0
vasa	masc	a masc	292.0
atthāya	masc	a masc	291.0
ākaṅkhati	pr	ati pr	291.0
jāyati	pr	ati pr	290.0
pabbata	masc	a masc	290.0
vineyya	ger		290.0
bhatta	nt	a nt	289.0
paṭiggaṇhāti	pr	āti pr	288.0
gacchanta	prp	anta prp	288.0
icchati	pr	ati pr	287.0
apāya	masc	a masc	286.0
tādisa	adj	aī adj	286.0
kappeti	pr	eti pr	284.0
niccaṃ	ind		284.0
āroceti	pr	eti pr	283.0
ājānāti	pr	āti pr	282.0
nāpara	nt	a nt	281.0
upādāya	ind		281.0
dhana	nt	a nt	279.0
saṅkhā	fem	ā fem	278.0
avijjā	fem	ā fem	278.0
domanassa	nt	a nt	278.0
mukha	nt	a nt	277.0
pacchima	adj	a adj	277.0
samāhita	pp	a pp	277.0
gāmaṇi	masc	i masc	277.0
pīti	fem	i fem	276.0
saṃsandati	pr	ati pr	276.0
dūra	adj	a adj	274.0
nara	masc	a masc	273.0
parihāyati	pr	ati pr	270.0
vigarahi	aor	i aor	270.0
dhammika	adj	a adj	270.0
bhāradvāja	masc	a masc	269.0
cuta	pp	a pp	269.0
gati	fem	i fem	269.0
sassata	adj	a adj	269.0
tīra	nt	a nt	269.0
upakkilesa	masc	a masc	269.0
anāsava	adj	a adj	268.0
vadamāna	prp	māna prp	268.0
dinna	pp	a pp	267.0
vacanīya	ptp	a ptp	267.0
vatthu	nt	u nt	267.0
vana	nt	a nt	266.0
khīṇa	pp	a pp	266.0
aneka	adj	eka adj	265.0
gilāna	adj	a adj	265.0
pāṇa	masc	a masc	265.0
sādhukaṃ	ind		265.0
gantvā	abs		265.0
yādisa	adj	aī adj	264.0
bhariyā	fem	ā fem	263.0
kevala	adj	a adj	263.0
bahula	adj	a adj	262.0
vimuccati	pr	ati pr	262.0
aṭṭhāsi	aor	āsi aor	261.0
sammodi	aor	i aor	261.0
āhāra	masc	a masc	260.0
vepulla	nt	a nt	259.0
bhāvanā	fem	ā fem	258.0
pacchā	ind		258.0
jīva	nt	a nt	256.0
puthujjana	masc	a masc	255.0
vītisāretvā	abs		255.0
vuddhi	fem	i fem	255.0
vivicca	ger		254.0
sammodanīya	adj	a adj	254.0
hattha	masc	a masc	254.0
ceteti	pr	eti pr	253.0
nivāsetvā	abs		253.0
abhikkantaṃ	ind		253.0
amanāpa	adj	a adj	252.0
sutta	nt	a nt	252.0
tāvatiṃsa	adj	a adj	252.0
vedayita	nt	a nt	252.0
visākha	adj	a adj	252.0
gaccheyya	opt	eyya opt	250.0
bahulaṃ	ind		250.0
rāhula	masc	a masc	249.0
gameti	pr	eti pr	248.0
yoniso	ind		248.0
aho	ind		247.0
kalyāṇa	adj	aī adj	247.0
paripūreti	pr	eti pr	247.0
dhammena	ind		246.0
kanta	adj	a adj	245.0
kuto	ind		245.0
pharitvā	abs		243.0
purima	adj	a adj	243.0
cārikā	fem	ā fem	243.0
sabbattha	ind		242.0
accayena	ind		242.0
upāsikā	fem	ā fem	241.0
vāyamati	pr	ati pr	241.0
iṭṭha	adj	a adj	241.0
sammukhā	ind		241.0
jhāyī	masc	ī masc	241.0
pare	ind		240.0
pharusa	adj	a adj	239.0
rukkha	masc	a masc	239.0
visākhā	fem	ā fem	239.0
anta	masc	a masc	239.0
dīgha	adj	a adj	238.0
pakkamati	pr	ati pr	237.0
pure	ind		237.0
āgata	pp	a pp	237.0
paṭissutvā	abs		237.0
mogha	adj	a adj	235.0
paññavant	adj	ant adj	235.0
a	abbrev		234.0
pariyāyena	ind		234.0
pada	nt	a nt	233.0
pariyesati	pr	ati pr	233.0
paṭijānāti	pr	āti pr	232.0
paribhuñjati	pr	ati pr	232.0
ajānanta	prp	anta prp	230.0
bhāvetabba	ptp	a ptp	230.0
chindati	pr	ati pr	230.0
vara	adj	a adj	230.0
nisīdati	pr	ati pr	229.0
seṭṭha	adj	a adj	229.0
rattiṃ	ind		228.0
jarā	fem	ā fem	227.0
dussīla	adj	a adj	227.0
adhamma	masc	a masc	226.0
ajja	ind		226.0
daṭṭhabba	ptp	a ptp	226.0
gārayha	adj	a adj	226.0
kātuṃ	inf		226.0
sutavant	adj	ant adj	226.0
tatha	adj	a adj	226.0
gaṇhāti	pr	āti pr	225.0
mutta	pp	a pp	225.0
upādāna	nt	a nt	225.0
uddiseyya	opt	eyya opt	225.0
samāpanna	pp	a pp	224.0
seyyo	ind		224.0
pakkāmi	aor	i aor	224.0
pabbajjā	fem	ā fem	224.0
akkhāta	pp	a pp	223.0
vaccha	masc	a masc	223.0
vasati	pr	ati pr	223.0
anattha	masc	a masc	222.0
saṃvijjamāna	prp	māna prp	222.0
thullaccaya	masc	a masc	222.0
uddesa	masc	a masc	222.0
vadesi	aor	esi aor	222.0
khādati	pr	ati pr	221.0
sudaṃ	ind		221.0
duccarita	adj	a adj	221.0
bhabba	adj	a adj	221.0
vihareyya	opt	eyya opt	220.0
nigama	masc	a masc	219.0
rajanīya	adj	a adj	219.0
āsi	aor	āsi aor irreg	218.0
asīti	card	i card	218.0
gihī	masc	ī masc	218.0
paṭisañcikkhati	pr	ati pr	218.0
tadā	ind		217.0
vidita	pp	a pp	216.0
tibba	adj	a adj	216.0
iccha	adj	a adj	216.0
ācikkhati	pr	ati pr	216.0
adhippeta	adj	a adj	215.0
antara	adj	a adj	215.0
appamāṇa	adj	a adj	215.0
parama	adj	a adj	215.0
adhigama	masc	a masc	214.0
anupasampanna	masc	a masc	214.0
bandhana	nt	a nt	214.0
saṃvara	masc	a masc	214.0
vāda	masc	a masc	214.0
vusita	pp	a pp	214.0
samatikkamma	ger		213.0
veyyākaraṇa	nt	a nt	213.0
khādanīya	nt	a nt	213.0
āmasati	pr	ati pr	212.0
bhiyyo	ind		212.0
caritvā	abs		212.0
ssu	ind		212.0
uttara	adj	a adj	211.0
vesālī	fem	ī fem	211.0
tava	pron	tvaṃ pron	210.0
paṇītatara	adj	a adj	210.0
vimokkha	masc	a masc	210.0
yathābhataṃ	ind		210.0
sīha	masc	a masc	209.0
handa	ind		209.0
cakkhumant	adj	ant adj	209.0
addhā	ind		208.0
ettaka	adj	aka adj	207.0
mitta	masc	a masc	207.0
nisajjā	fem	ā fem	206.0
vūpasama	masc	a masc	206.0
vihāsi	aor	hari aor	205.0
vihari	aor	hari aor	205.0
sandiṭṭhika	adj	a adj	205.0
balavant	adj	ant adj	205.0
appahāya	ger		205.0
āgamma	ger		205.0
pāripūri	fem	i fem	204.0
piṇḍapāta	masc	a masc	204.0
sāmaṃ	ind		204.0
vaḍḍhati	pr	ati pr	204.0
caranta	prp	anta prp	202.0
nivesana	nt	a nt	202.0
pariyodāta	adj	a adj	202.0
pāvisi	aor	i aor	202.0
muni	masc	i masc	201.0
isi	masc	i masc	201.0
anuppatta	pp	a pp	201.0
sukhī	adj	ī adj	200.0
samatta	pp	a pp	200.0
āgaccheyya	opt	eyya opt	200.0
jāneyya	opt	eyya opt	200.0
uppajjeyya	opt	eyya opt	200.0
passeyya	opt	eyya opt	200.0
upanissāya	ger		200.0
tuvaṃ	pron	tvaṃ pron	200.0
padakkhiṇā	fem	ā fem	200.0
nanda	masc	a masc	200.0
jānaṃ	ind		200.0
icchā	fem	ā fem	200.0
bhāsissati	fut	issati fut	200.0
āpanna	pp	a pp	200.0
ābādha	masc	a masc	200.0
acchariyaṃ	ind		199.0
datvā	abs		199.0
divasa	masc	a masc	199.0
sādiyati	pr	ati pr	198.0
yāvatā	ind		198.0
padhāna	nt	a nt	198.0
māsa	masc	a masc	198.0
arañña	nt	a nt	197.0
bahutara	adj	a adj	197.0
khippaṃ	ind		197.0
nagara	nt	a nt	197.0
puṇṇa	masc	a masc	197.0
sāsana	nt	a nt	197.0
jhāyati	pr	ati pr	196.0
maññe	ind		196.0
sañjānāti	pr	āti pr	196.0
yasas	masc	as masc	195.0
bhadda	adj	a adj	194.0
ārabhati	pr	ati pr	194.0
sacchikiriyā	fem	ā fem	193.0
somanassa	nt	a nt	193.0
viharissati	fut	issati fut	193.0
abhivaḍḍhati	pr	ati pr	192.0
bhadra	nt	a nt	192.0
dhīra	masc	a masc	192.0
sīsa	nt	a nt	192.0
upasaṅkamati	pr	ati pr	192.0
vāta	masc	a masc	192.0
khamati	pr	ati pr	191.0
ummattaka	masc	a masc	191.0
dakkhati	pr	dakkhati pr	191.0
bāhā	fem	ā fem	191.0
anāgata	pp	a pp	190.0
āyatana	nt	a nt	190.0
dahara	adj	a adj	190.0
paṭipajjati	pr	ati pr	190.0
rajja	nt	a nt	190.0
rakkhati	pr	ati pr	190.0
pahoti	pr	hoti pr	189.0
visuddha	pp	a pp	189.0
anuyutta	pp	a pp	189.0
divā	ind		189.0
ārabbha	ind		187.0
hutvā	abs		187.0
sevanta	prp	anta prp	186.0
uttari	ind		186.0
tuṇhī	ind		186.0
aparena	ind		186.0
opapātika	adj	a adj	185.0
pātubhāva	masc	a masc	185.0
sakkā	ind		185.0
sambodha	masc	a masc	185.0
socati	pr	ati pr	185.0
samagga	adj	a adj	184.0
yoga	masc	a masc	184.0
viya	ind		184.0
sotāpanna	adj	a adj	184.0
pariyādāya	ger		184.0
paccupaṭṭhita	pp	a pp	184.0
māgadha	adj	a adj	184.0
āraññika	masc	a masc	184.0
abhinandi	aor	i aor	184.0
majjhima	adj	a adj	184.0
pallaṅka	masc	a masc	183.0
vipula	adj	a adj	183.0
vedayati	pr	ati pr	183.0
ākāsa	masc	a masc	183.0
asuci	masc	i masc	183.0
apassanta	prp	anta prp	183.0
asuci	adj	i adj	183.0
adhivacana	nt	a nt	182.0
anujānāti	pr	āti pr	182.0
dhammiya	adj	a adj	182.0
gamissati	fut	issati fut	182.0
oḷārika	adj	a adj	182.0
pisuṇa	adj	a adj	182.0
samādāya	ger		182.0
vattati	pr	ati pr	182.0
kaccāna	masc	a masc	182.0
jīvati	pr	ati pr	181.0
parinibbuta	pp	a pp	181.0
varaṃ	ind		181.0
assasati	pr	ati pr	180.0
yasassī	adj	ī adj	180.0
abbhaññāsi	aor	āsi aor	180.0
tumhākaṃ	pron	tvaṃ pron	180.0
paṭibhāti	pr	āti pr	179.0
pamāda	masc	a masc	179.0
ghāna	nt	a nt	179.0
abbhutaṃ	ind		179.0
byāpāda	masc	a masc	178.0
hanati	pr	hanati pr	178.0
hanti	pr	hanati pr	178.0
vassa	masc	a masc	178.0
viññāpeti	pr	eti pr	177.0
ma	abbrev		177.0
anupādāya	ger		177.0
sadevaka	adj	a adj	176.0
sāmika	masc	a masc	176.0
uḷāra	adj	a adj	176.0
yasmā	ind		176.0
paripūra	pp	a pp	176.0
aññathā	ind		175.0
santiṭṭhati	pr	ati pr	175.0
upekkhā	fem	ā fem	175.0
cora	masc	a masc	174.0
paccattaṃ	ind		174.0
nīvaraṇa	masc	a masc	174.0
abyābajjha	adj	a adj	174.0
abhāsi	aor	āsi aor	174.0
adhivāseti	pr	eti pr	173.0
mūla	nt	a nt	173.0
passasati	pr	ati pr	173.0
vajjī	masc	ī masc pl	173.0
appiya	adj	a adj	173.0
nimitta	nt	a nt	172.0
sabbāvant	adj	ant adj	172.0
pavisati	pr	ati pr	172.0
ānisaṃsa	masc	a masc	172.0
ambaṭṭha	masc	a masc	172.0
abhavissa	cond	issa cond	172.0
tayā	pron	tvaṃ pron	172.0
gaṇa	masc	a masc	171.0
nibbidā	fem	ā fem	171.0
paritta	adj	a adj	171.0
udāna	nt	a nt	171.0
