"Pāli1"	"POS"	"Grammar"	"Pāli Root"	"Pattern"	"count"	"found"
"ekagga"	"adj"	""	""	"a adj"	"29"	"{'ekaggaṃ': 25, 'ekaggā': 3, 'ekaggassa': 1}"
"ekāha"	"nt"	""	""	"a nt"	"29"	"{'ekāhena': 19, 'ekāhaṃ': 10}"
"gāmadhamma"	"masc"	""	""	"a masc"	"29"	"{'gāmadhammā': 25, 'gāmadhammaṃ': 2, 'gāmadhammo': 1, 'gāmadhammassa': 1}"
"gimha"	"masc"	""	""	"a masc"	"29"	"{'gimhānaṃ': 23, 'gimhaṃ': 2, 'gimhe': 2, 'gimhesu': 1, 'gimhā': 1}"
"giriguhā"	"fem"	""	""	"ā fem"	"29"	"{'giriguhaṃ': 26, 'giriguhāyo': 3}"
"hantar"	"masc"	""	"√han 1 (strike, kill)"	"ar masc"	"29"	"{'hantā': 19, 'hantāraṃ': 6, 'hantu': 4}"
"ittara"	"adj"	""	""	"a adj"	"29"	"{'ittaraṃ': 27, 'ittarena': 1, 'ittara': 1}"
"ittara"	"nt"	""	""	"a nt"	"29"	"{'ittaraṃ': 27, 'ittarena': 1, 'ittara': 1}"
"janapadakalyāṇī"	"fem"	""	""	"ī fem"	"29"	"{'janapadakalyāṇiṃ': 16, 'janapadakalyāṇī': 11, 'janapadakalyāṇiyā': 2}"
"kandara"	"masc"	""	"√kand 1 (wail, cry out)"	"a masc"	"29"	"{'kandaraṃ': 26, 'kandare': 1, 'kandarā': 1, 'kandara': 1}"
"kaṇhavipāka"	"adj"	""	""	"a adj"	"29"	"{'kaṇhavipākaṃ': 27, 'kaṇhavipākā': 2}"
"kara"	"adj"	""	"√kar 7 (do, make)"	"a adj"	"29"	"{'kare': 11, 'karaṃ': 10, 'kara': 4, 'karo': 2, 'karehi': 1, 'karato': 1}"
"kara"	"masc"	""	"√kar 7 (do, make)"	"a masc"	"29"	"{'kare': 11, 'karaṃ': 10, 'kara': 4, 'karo': 2, 'karehi': 1, 'karato': 1}"
"khattiyaparisā"	"fem"	""	""	"parisā fem"	"29"	"{'khattiyaparisaṃ': 18, 'khattiyaparisā': 11}"
"koṭi"	"card"	""	"√kuṭ 1 (be crooked, bent)"	"i2 card"	"29"	"{'koṭi': 22, 'koṭiyā': 2, 'koṭiṃ': 2, 'koṭiyaṃ': 1, 'koṭiyo': 2}"
"koṭi"	"fem"	""	"√kuṭ 1 (be crooked, bent)"	"i fem"	"29"	"{'koṭi': 22, 'koṭiyā': 2, 'koṭiṃ': 2, 'koṭiyaṃ': 1, 'koṭiyo': 2}"
"kujjhati"	"pr"	""	"√kudh 3 (be angry)"	"ati pr"	"29"	"{'kujjhati': 9, 'kujjha': 9, 'kujjhanti': 4, 'kujjhāmi': 3, 'kujjhasi': 2, 'kujjhataṃ': 1, 'kujjheyya': 1}"
"kuṭṭhī"	"adj"	""	"√kus 1 (cut, tear)"	"ī adj"	"29"	"{'kuṭṭhī': 21, 'kuṭṭhiṃ': 6, 'kuṭṭhissa': 2}"
"kuṭṭhī"	"masc"	""	"√kus 1 (cut, tear)"	"ī masc"	"29"	"{'kuṭṭhī': 21, 'kuṭṭhiṃ': 6, 'kuṭṭhissa': 2}"
"mānasa"	"nt"	""	"√man 3 (think)"	"a nt"	"29"	"{'mānasaṃ': 24, 'mānasā': 4, 'mānasena': 1}"
"manussitthī"	"fem"	""	""	"ī fem"	"29"	"{'manussitthī': 11, 'manussitthiyā': 9, 'manussitthiṃ': 9}"
"maraṇasaññā"	"fem"	""	""	"ā fem"	"29"	"{'maraṇasaññā': 27, 'maraṇasaññaṃ': 2}"
"nakkhatta"	"nt"	""	"√nakkh 1 (attain, arrive)"	"a nt"	"29"	"{'nakkhattānaṃ': 10, 'nakkhattāni': 9, 'nakkhattaṃ': 5, 'nakkhattesu': 4, 'nakkhatte': 1}"
"nigameti"	"pr"	""	"√gam 1 (go)"	"eti pr"	"29"	"{'nigame': 28, 'nigamehi': 1}"
"niketa"	"nt"	""	"√kit 1 (live)"	"a nt"	"29"	"{'niketaṃ': 27, 'nikete': 1, 'niketā': 1}"
"nikkhittadhura"	"adj"	""	""	"a adj"	"29"	"{'nikkhittadhurā': 29}"
"nīlavaṇṇa"	"adj"	""	""	"a adj"	"29"	"{'nīlavaṇṇāni': 13, 'nīlavaṇṇaṃ': 10, 'nīlavaṇṇā': 6}"
"niyāma"	"masc"	""	"√yam 1 (control, strive, end)"	"a masc"	"29"	"{'niyāmaṃ': 29}"
"okkanta"	"pp"	""	"√kam 1 (go)"	"a pp"	"29"	"{'okkanto': 29}"
"onītapattapāṇī"	"adj"	""	""	"ī adj"	"29"	"{'onītapattapāṇiṃ': 25, 'onītapattapāṇino': 3, 'onītapattapāṇī': 1}"
"pabhāvatī"	"fem"	""	""	"ī fem"	"29"	"{'pabhāvati': 15, 'pabhāvatī': 10, 'pabhāvatiṃ': 4}"
"paṃsukūla"	"adj"	""	""	"a adj"	"29"	"{'paṃsukūlāni': 18, 'paṃsukūlaṃ': 8, 'paṃsukūlena': 2, 'paṃsukūlānaṃ': 1}"
"paṃsukūla"	"nt"	""	""	"a nt"	"29"	"{'paṃsukūlāni': 18, 'paṃsukūlaṃ': 8, 'paṃsukūlena': 2, 'paṃsukūlānaṃ': 1}"
"paṅka"	"masc"	""	""	"a masc"	"29"	"{'paṅko': 10, 'paṅke': 9, 'paṅkaṃ': 4, 'paṅkā': 3, 'paṅkamhi': 2, 'paṅkena': 1}"
"paññatti"	"fem"	""	"√ñā 5 (know)"	"i fem"	"29"	"{'paññatti': 25, 'paññattiyā': 4}"
"pāpamitta"	"adj"	""	""	"a adj"	"29"	"{'pāpamitto': 18, 'pāpamittassa': 5, 'pāpamittā': 4, 'pāpamitte': 2}"
"pāpamitta"	"masc"	""	""	"a masc"	"29"	"{'pāpamitto': 18, 'pāpamittassa': 5, 'pāpamittā': 4, 'pāpamitte': 2}"
"papaṭikā"	"fem"	""	"√paṭ 1 (split, tear)"	"ā fem"	"29"	"{'papaṭikaṃ': 21, 'papaṭikā': 7, 'papaṭikāya': 1}"
"pariggaṇhāti"	"pr"	""	"√gah 6 (grasp)"	"āti pr"	"29"	"{'pariggaṇhanti': 17, 'pariggaṇhāmi': 10, 'pariggaṇheyyāsi': 1, 'pariggaṇheyyātha': 1}"
"paṭissata"	"adj"	""	"√sar 1 (remember)"	"a adj"	"29"	"{'paṭissato': 29}"
"pavecchati"	"pr"	""	"√yam 1 (support, stretch)"	"ati pr"	"29"	"{'pavecche': 19, 'pavecchanti': 5, 'pavecchati': 3, 'pavecchasi': 1, 'pavecchatha': 1}"
"payirupāsitabba"	"ptp"	""	"√ās 1 (sit)"	"a ptp"	"29"	"{'payirupāsitabbo': 29}"
"pīṭha"	"nt"	""	""	"a nt"	"29"	"{'pīṭhaṃ': 16, 'pīṭhe': 8, 'pīṭhāni': 3, 'pīṭhassa': 2}"
"pubbenivāsānussatiñāṇa"	"nt"	""	""	"a nt"	"29"	"{'pubbenivāsānussatiñāṇāya': 24, 'pubbenivāsānussatiñāṇaṃ': 3, 'pubbenivāsānussatiñāṇe': 2}"
"pubbuṭṭhāyī"	"adj"	""	""	"ī adj"	"29"	"{'pubbuṭṭhāyī': 22, 'pubbuṭṭhāyinī': 5, 'pubbuṭṭhāyino': 1, 'pubbuṭṭhāyiniyo': 1}"
"puṇṇaka"	"masc"	""	"√pūr 1 (fill, fulfil)"	"a masc"	"29"	"{'puṇṇako': 23, 'puṇṇakaṃ': 4, 'puṇṇaka': 1, 'puṇṇakassa': 1}"
"puññapekkha"	"adj"	""	""	"a adj"	"29"	"{'puññapekkho': 24, 'puññapekkhassa': 5}"
"rāgapariyuṭṭhita"	"adj"	""	""	"a adj"	"29"	"{'rāgapariyuṭṭhitaṃ': 27, 'rāgapariyuṭṭhitā': 1, 'rāgapariyuṭṭhito': 1}"
"rattā"	"fem"	""	""	"ā fem"	"29"	"{'rattā': 13, 'rattaṃ': 9, 'ratte': 6, 'ratta': 1}"
"rucira"	"adj"	""	"√ruc 1 (shine, like)"	"a adj"	"29"	"{'rucire': 13, 'rucirā': 8, 'ruciraṃ': 8}"
"rūpadhātu"	"fem"	"comp"	""	"u fem"	"29"	"{'rūpadhātu': 15, 'rūpadhātuyā': 8, 'rūpadhātuṃ': 5, 'rūpadhātusu': 1}"
"sahasā"	"ind"	""	"√sah 1 (overcome, prevail)"	""	"29"	"{'sahasā': 29}"
"sakaṭasata"	"nt"	""	""	"a nt"	"29"	"{'sakaṭasatāni': 19, 'sakaṭasataṃ': 7, 'sakaṭasatānaṃ': 2, 'sakaṭasatassa': 1}"
"sākhāpalāsa"	"nt"	""	""	"a nt"	"29"	"{'sākhāpalāsaṃ': 22, 'sākhāpalāse': 6, 'sākhāpalāsā': 1}"
"samādhibhāvanā"	"fem"	""	""	"ā fem"	"29"	"{'samādhibhāvanā': 27, 'samādhibhāvanānaṃ': 2}"
"samāgamma"	"ger"	""	"√gam 1 (go)"	""	"29"	"{'samāgamma': 29}"
"samantato"	"ind"	"place"	""	""	"29"	"{'samantato': 29}"
"sammatta"	"nt"	""	""	"a nt"	"29"	"{'sammattaṃ': 27, 'sammattā': 2}"
"samuttejetvā"	"abs"	""	"√tij 8 (be sharp, hot)"	""	"29"	"{'samuttejetvā': 29}"
"saṃvaṇṇita"	"pp"	""	"√vaṇṇ 8 (praise)"	"a pp"	"29"	"{'saṃvaṇṇito': 29}"
"sañchanna"	"pp"	""	"√chad 8 (cover, conceal)"	"a pp"	"29"	"{'sañchannā': 11, 'sañchannaṃ': 9, 'sañchanno': 6, 'sañchanne': 3}"
"saṅkampati"	"pr"	""	"√kamp 1 (shake, tremble)"	"ati pr"	"29"	"{'saṅkampati': 16, 'saṅkampeyya': 13}"
"saṅkhārupādānakkhandha"	"masc"	""	""	"a masc"	"29"	"{'saṅkhārupādānakkhandho': 25, 'saṅkhārupādānakkhandhassa': 2, 'saṅkhārupādānakkhandhe': 2}"
"sannisīdati"	"pr"	""	"√sad 1 (sink, sit, settle)"	"ati pr"	"29"	"{'sannisīdati': 25, 'sannisīdeyyātha': 2, 'sannisīdāma': 2}"
"saññupādānakkhandha"	"masc"	""	""	"a masc"	"29"	"{'saññupādānakkhandho': 25, 'saññupādānakkhandhassa': 2, 'saññupādānakkhandhe': 2}"
"sarita"	"adj"	""	"√sar 1 (go, flow)"	"a adj"	"29"	"{'saritā': 25, 'saritaṃ': 3, 'saritāni': 1}"
"sarita"	"pp"	""	"√sar 1 (remember)"	"a pp"	"29"	"{'saritā': 25, 'saritaṃ': 3, 'saritāni': 1}"
"sasaṅkhāraparinibbāyī"	"adj"	""	""	"ī adj"	"29"	"{'sasaṅkhāraparinibbāyī': 27, 'sasaṅkhāraparinibbāyissa': 2}"
"saṭṭhi"	"card"	""	""	"i card"	"29"	"{'saṭṭhi': 27, 'saṭṭhiṃ': 2}"
"sudassana"	"adj"	""	"√dis 1 (see)"	"a adj"	"29"	"{'sudassano': 11, 'sudassanā': 8, 'sudassanaṃ': 6, 'sudassana': 3, 'sudassanassa': 1}"
"sudassana"	"masc"	""	"√dis 1 (see)"	"a masc"	"29"	"{'sudassano': 11, 'sudassanā': 8, 'sudassanaṃ': 6, 'sudassana': 3, 'sudassanassa': 1}"
"sukhavedaniya"	"adj"	""	""	"a adj"	"29"	"{'sukhavedaniyaṃ': 22, 'sukhavedaniyassa': 7}"
"tādisaka"	"adj"	""	""	"aka adj"	"29"	"{'tādisako': 16, 'tādisakaṃ': 6, 'tādisikāya': 2, 'tādisake': 2, 'tādisakā': 1, 'tādisakehi': 1, 'tādisikaṃ': 1}"
"taṇḍula"	"nt"	""	""	"a nt"	"29"	"{'taṇḍulaṃ': 11, 'taṇḍulānaṃ': 3, 'taṇḍulā': 6, 'taṇḍula': 6, 'taṇḍule': 1, 'taṇḍulehi': 1, 'taṇḍulāni': 1}"
"tirokuṭṭaṃ"	"ind"	""	""	""	"29"	"{'tirokuṭṭaṃ': 29}"
"todeyyaputta"	"masc"	""	""	"a masc"	"29"	"{'todeyyaputto': 21, 'todeyyaputtassa': 5, 'todeyyaputtaṃ': 3}"
"uccati"	"pr"	""	"√vac 1 (say, speak)"	"ati pr"	"29"	"{'ucce': 29}"
"uddharaṇa"	"nt"	""	"√dhar 1 (hold, carry, endure)"	"a nt"	"29"	"{'uddharaṇaṃ': 29}"
"upanisa"	"adj"	""	""	"a adj"	"29"	"{'upanisā': 28, 'upanisaṃ': 1}"
"upanisā"	"fem"	""	"√si 1 (depend on, associate with)"	"ā fem"	"29"	"{'upanisā': 28, 'upanisaṃ': 1}"
"upaṭṭhāti"	"pr"	""	"√ṭhā 1 (stand)"	"āti pr"	"29"	"{'upaṭṭhāti': 22, 'upaṭṭheyya': 2, 'upaṭṭhāsi': 2, 'upaṭṭhissaṃ': 2, 'upaṭṭhahi': 1}"
"ussoḷhi"	"fem"	""	""	"i fem"	"29"	"{'ussoḷhī': 29}"
"ussoḷhī"	"fem"	""	"√sah 1 (overcome, prevail)"	"ī fem"	"29"	"{'ussoḷhī': 29}"
"uyyāna"	"nt"	""	"√yā 1 (go)"	"a nt"	"29"	"{'uyyānaṃ': 20, 'uyyāne': 7, 'uyyānena': 2}"
"vātātapa"	"masc"	""	""	"a masc"	"29"	"{'vātātape': 20, 'vātātapena': 6, 'vātātapo': 2, 'vātātapā': 1}"
"vattamāna"	"prp"	""	"√vatt 1 (be, proceed)"	"māna prp"	"29"	"{'vattamānā': 8, 'vattamāne': 7, 'vattamānāya': 4, 'vattamānamhi': 3, 'vattamānānaṃ': 3, 'vattamānassa': 2, 'vattamānesu': 1, 'vattamāno': 1}"
"vedanupādānakkhandha"	"masc"	""	""	"a masc"	"29"	"{'vedanupādānakkhandho': 25, 'vedanupādānakkhandhassa': 2, 'vedanupādānakkhandhe': 2}"
"vigatābhijjha"	"adj"	""	""	"a adj"	"29"	"{'vigatābhijjhena': 15, 'vigatābhijjho': 14}"
"vihaṅgama"	"masc"	""	""	"a masc"	"29"	"{'vihaṅgamā': 11, 'vihaṅgamo': 8, 'vihaṅgama': 7, 'vihaṅgame': 2, 'vihaṅgamaṃ': 1}"
"vipariṇāmaññathābhāva"	"masc"	""	""	"a masc"	"29"	"{'vipariṇāmaññathābhāvā': 29}"
"vuṭṭhahati"	"pr"	""	"√ṭhā 1 (stand)"	"ati pr"	"29"	"{'vuṭṭhahissanti': 10, 'vuṭṭhahanti': 5, 'vuṭṭhahati': 2, 'vuṭṭhahissati': 2, 'vuṭṭhahissāma': 1, 'vuṭṭhaheyya': 4, 'vuṭṭhahāmi': 4, 'vuṭṭhaheyyaṃ': 1}"
"yamaka"	"nt"	""	"√yam 1 (support, stretch)"	"a nt"	"29"	"{'yamaka': 17, 'yamakaṃ': 5, 'yamakassa': 3, 'yamakena': 2, 'yamake': 2}"
"abhisambujjhati"	"pr"	""	"√budh 3 (know, wake up)"	"ati pr"	"28"	"{'abhisambujjhati': 18, 'abhisambujjhissanti': 6, 'abhisambujjhanti': 4}"
"abhivinaya"	"masc"	""	""	"a masc"	"28"	"{'abhivinaye': 28}"
"abhivinaye"	"ind"	""	""	""	"28"	"{'abhivinaye': 28}"
"abyāpajjha"	"masc"	""	"√pad 3 (go, step)"	"a masc"	"28"	"{'abyāpajjhena': 13, 'abyāpajjhaṃ': 11, 'abyāpajjho': 3, 'abyāpajjhā': 1}"
"accagamā"	"imperf"	""	"√gam 1 (go)"	"ā imperf"	"28"	"{'accagamā': 28}"
"acchara"	"nt"	""	""	"a nt"	"28"	"{'accharā': 14, 'accharānaṃ': 5, 'accharaṃ': 4, 'acchare': 4, 'accharāya': 1}"
"adhisīla"	"nt"	""	""	"a nt"	"28"	"{'adhisīle': 22, 'adhisīlaṃ': 5, 'adhisīlesu': 1}"
"ajī"	"fem"	""	""	"ī fem"	"28"	"{'ajito': 26, 'ajiyā': 1, 'ajiyaṃ': 1}"
"āḷavī"	"fem"	""	""	"ī fem"	"28"	"{'āḷaviyaṃ': 18, 'āḷavī': 7, 'āḷaviyā': 1, 'āḷaviṃ': 1, 'āḷavi': 1}"
"anuparivattanta"	"prp"	""	"√vatt 1 (be, proceed)"	"anta prp"	"28"	"{'anuparivattanti': 15, 'anuparivattati': 9, 'anuparivattaṃ': 2, 'anuparivattantī': 2}"
"aparaddha"	"pp"	""	"√rādh 3 (succeed, please)"	"a pp"	"28"	"{'aparaddhaṃ': 19, 'aparaddho': 4, 'aparaddhā': 5}"
"appasamārambhatara"	"adj"	""	""	"a adj"	"28"	"{'appasamārambhataro': 23, 'appasamārambhatarā': 3, 'appasamārambhataraṃ': 2}"
"appaṭivedha"	"masc"	""	"√vidh 3 (throw, pierce)"	"a masc"	"28"	"{'appaṭivedhā': 28}"
"asmimāna"	"masc"	""	""	"a masc"	"28"	"{'asmimāno': 14, 'asmimānaṃ': 13, 'asmimānassa': 1}"
"attaniya"	"adj"	""	""	"a adj"	"28"	"{'attaniyaṃ': 15, 'attaniyena': 11, 'attaniye': 2}"
"aṭṭhārasa"	"card"	""	""	"a1 card"	"28"	"{'aṭṭhārasa': 21, 'aṭṭhārasahi': 7}"
"bali"	"masc"	""	"√bal 1 (be strong, live)"	"i masc"	"28"	"{'baliṃ': 13, 'balī': 12, 'balinā': 2, 'balino': 1}"
"balī"	"adj"	""	"√bal 1 (be strong, live)"	"ī adj"	"28"	"{'baliṃ': 13, 'balī': 12, 'balinā': 2, 'balino': 1}"
"bhañjati"	"pr"	""	"√bhañj 1 (break, destroy)"	"ati pr"	"28"	"{'bhañjati': 10, 'bhañjeyya': 9, 'bhañjāmi': 2, 'bhañjare': 2, 'bhañjeyyaṃ': 1, 'bhañjissaṃ': 1, 'bhañjatha': 1, 'bhañja': 1, 'bhañjanti': 1}"
"bhisakka"	"masc"	""	""	"a masc"	"28"	"{'bhisakko': 18, 'bhisakkaṃ': 9, 'bhisakkena': 1}"
"brāhmaṇakula"	"nt"	""	""	"a nt"	"28"	"{'brāhmaṇakulā': 13, 'brāhmaṇakulaṃ': 9, 'brāhmaṇakule': 6}"
"cavitvā"	"abs"	""	"√cu 1 (shift, fall away, die)"	""	"28"	"{'cavitvā': 28}"
"chinditvā"	"abs"	""	"√chid 2 (cut, steal)"	""	"28"	"{'chinditvā': 28}"
"cirassaṃ"	"ind"	"adv"	""	""	"28"	"{'cirassaṃ': 28}"
"cīvarakamma"	"nt"	""	""	"a nt"	"28"	"{'cīvarakammaṃ': 26, 'cīvarakamme': 2}"
"dhammacariyāsamacariyā"	"fem"	""	""	"ā fem"	"28"	"{'dhammacariyāsamacariyā': 28}"
"dhāresi"	"aor"	""	"√dhar 8 (wear, hold, carry)"	"esi aor"	"28"	"{'dhāresi': 27, 'dhāresuṃ': 1}"
"dulladdha"	"adj"	""	"√labh 1 (get)"	"a adj"	"28"	"{'dulladdhaṃ': 28}"
"dulladdhaṃ"	"ind"	""	"√labh 1 (get)"	""	"28"	"{'dulladdhaṃ': 28}"
"ekabhikkhu"	"masc"	"comp"	""	"u masc"	"28"	"{'ekabhikkhuṃ': 1, 'ekabhikkhu': 23, 'ekabhikkhussa': 4}"
"ekapuggala"	"masc"	""	""	"a masc"	"28"	"{'ekapuggalo': 17, 'ekapuggalassa': 11}"
"gāmanigama"	"masc"	""	""	"a masc"	"28"	"{'gāmanigamo': 11, 'gāmanigamaṃ': 11, 'gāmanigame': 4, 'gāmanigamesu': 1, 'gāmanigamā': 1}"
"gantha"	"masc"	""	"√ganth 8 (tie, bind)"	"a masc"	"28"	"{'ganthā': 21, 'ganthaṃ': 4, 'ganthe': 2, 'ganthānaṃ': 1}"
"gavesanta"	"prp"	""	"√gaves 1 (seek, search)"	"anta prp"	"28"	"{'gavesanto': 13, 'gavesati': 10, 'gavesanti': 3, 'gavesantī': 2}"
"giddha"	"adj"	""	"√gidh 3 (be greedy)"	"a adj"	"28"	"{'giddhā': 20, 'giddho': 7, 'giddhe': 1}"
"girā"	"fem"	""	"√gir 4 (call, speak)"	"ā fem"	"28"	"{'giraṃ': 25, 'girā': 2, 'girāhi': 1}"
"hadayaṅgama"	"adj"	""	""	"a adj"	"28"	"{'hadayaṅgamā': 20, 'hadayaṅgamaṃ': 8}"
"hata"	"nt"	""	"√han 1 (strike, kill)"	"a nt"	"28"	"{'hatā': 21, 'hataṃ': 6, 'hate': 1}"
"heṭṭhima"	"adj"	""	""	"a adj"	"28"	"{'heṭṭhimassa': 9, 'heṭṭhimaṃ': 7, 'heṭṭhimā': 5, 'heṭṭhimāya': 2, 'heṭṭhimena': 2, 'heṭṭhimato': 2, 'heṭṭhimo': 1}"
"itthāgāra"	"nt"	""	""	"a nt"	"28"	"{'itthāgāraṃ': 9, 'itthāgārehi': 9, 'itthāgārassa': 6, 'itthāgārena': 2, 'itthāgārā': 2}"
"jaṭā"	"fem"	""	"√jaṭ 1 (twist, tangle)"	"ā fem"	"28"	"{'jaṭaṃ': 11, 'jaṭā': 9, 'jaṭāhi': 4, 'jaṭāya': 2, 'jaṭānaṃ': 1, 'jaṭāyo': 1}"
"kaccha"	"masc"	""	""	"a masc"	"28"	"{'kacchehi': 9, 'kaccho': 8, 'kacche': 5, 'kacchaṃ': 3, 'kacchā': 2, 'kacchāya': 1}"
"kāḷī"	"fem"	""	""	"ī fem"	"28"	"{'kāḷī': 18, 'kāḷiṃ': 4, 'kāḷiyā': 3, 'kāḷi': 2, 'kāḷiyo': 1}"
"kāmādhikaraṇaṃ"	"ind"	""	""	""	"28"	"{'kāmādhikaraṇaṃ': 28}"
"kammaṭṭhāna"	"nt"	""	""	"a nt"	"28"	"{'kammaṭṭhānaṃ': 22, 'kammaṭṭhānena': 6}"
"kāra"	"adj"	""	"√kar 7 (do, make)"	"a adj"	"28"	"{'kārehi': 12, 'kārā': 10, 'kāro': 3, 'kāraṃ': 2, 'kāre': 1}"
"kāra"	"masc"	""	"√kar 7 (do, make)"	"a masc"	"28"	"{'kārehi': 12, 'kārā': 10, 'kāro': 3, 'kāraṃ': 2, 'kāre': 1}"
"kāruka"	"masc"	""	"√kar 7 (do, make)"	"a masc"	"28"	"{'kārukānaṃ': 28}"
"kasi"	"aor"	""	"√kas 1 (drag, draw)"	"i aor"	"28"	"{'kasiṃ': 13, 'kasi': 10, 'kasī': 4, 'kasaṃ': 1}"
"khiḍḍā"	"fem"	""	"√kīḷ 1 (play)"	"ā fem"	"28"	"{'khiḍḍaṃ': 15, 'khiḍḍā': 10, 'khiḍḍāya': 1, 'khiḍḍāhi': 1, 'khiḍḍāsu': 1}"
"khīṇatiracchānayoni"	"adj"	""	""	"i adj"	"28"	"{'khīṇatiracchānayoni': 26, 'khīṇatiracchānayoniyo': 2}"
"kimilā"	"fem"	""	""	"ā fem"	"28"	"{'kimila': 17, 'kimilaṃ': 6, 'kimilāyaṃ': 5}"
"korabya"	"adj"	""	""	"a adj"	"28"	"{'korabyo': 19, 'korabyassa': 8, 'korabyaṃ': 1}"
"koviḷāra"	"masc"	""	""	"a masc"	"28"	"{'koviḷāro': 21, 'koviḷārassa': 3, 'koviḷārā': 2, 'koviḷārehi': 1, 'koviḷāra': 1}"
"kuhiñci"	"ind"	""	""	""	"28"	"{'kuhiñci': 28}"
"kukkuṭī"	"fem"	""	""	"ī fem"	"28"	"{'kukkuṭiyā': 28}"
"kusalamūla"	"nt"	""	""	"a nt"	"28"	"{'kusalamūlaṃ': 25, 'kusalamūlāni': 3}"
"kusītavatthu"	"nt"	"comp"	""	"u nt"	"28"	"{'kusītavatthu': 24, 'kusītavatthūni': 4}"
"labhitvā"	"abs"	""	"√labh 1 (get)"	""	"28"	"{'labhitvā': 28}"
"lobhadhamma"	"masc"	""	""	"a masc"	"28"	"{'lobhadhammā': 19, 'lobhadhammaṃ': 8, 'lobhadhammesu': 1}"
"makkhali"	"masc"	""	""	"i masc"	"28"	"{'makkhali': 20, 'makkhaliṃ': 6, 'makkhalinā': 1, 'makkhalissa': 1}"
"manāpacārī"	"adj"	""	""	"ī adj"	"28"	"{'manāpacārī': 22, 'manāpacārinī': 5, 'manāpacāriniyo': 1}"
"mantāṇiputta"	"masc"	""	""	"a masc"	"28"	"{'mantāṇiputto': 13, 'mantāṇiputtaṃ': 7, 'mantāṇiputtassa': 5, 'mantāṇiputtena': 3}"
"maraṇādhippāya"	"adj"	""	""	"a adj"	"28"	"{'maraṇādhippāyo': 18, 'maraṇādhippāyā': 10}"
"mātukucchi"	"fem"	""	""	"i fem"	"28"	"{'mātukucchiṃ': 28}"
"miyyati"	"pr"	""	"√mar 1 (die)"	"ati pr"	"28"	"{'miyyare': 13, 'miyyati': 4, 'miyyetha': 3, 'miyyanti': 2, 'miyyāma': 2, 'miyyate': 1, 'miyyasi': 1, 'miyyāmi': 1, 'miyye': 1}"
"mudita"	"adj"	""	"√mud 1 (be soft, happy)"	"a adj"	"28"	"{'muditā': 14, 'muditaṃ': 6, 'muditāya': 4, 'mudito': 3, 'muditassa': 1}"
"nagga"	"adj"	""	""	"a adj"	"28"	"{'naggā': 14, 'naggo': 11, 'naggena': 1, 'naggāya': 1, 'naggaṃ': 1}"
"nakhasikhā"	"fem"	""	""	"ā fem"	"28"	"{'nakhasikhāyaṃ': 25, 'nakhasikhā': 2, 'nakhasikhaṃ': 1}"
"netta"	"nt"	""	"√nī 1 (lead, carry)"	"a nt"	"28"	"{'nettehi': 9, 'nette': 8, 'nettā': 5, 'nettāni': 4, 'nettaṃ': 2}"
"nibbānadhātu"	"fem"	"comp"	""	"u fem"	"28"	"{'nibbānadhātuyā': 20, 'nibbānadhātu': 6, 'nibbānadhātuyo': 1, 'nibbānadhātū': 1}"
"nijjhāyati"	"pr"	""	"√jhā 3 (think, meditate)"	"ati pr"	"28"	"{'nijjhāyati': 16, 'nijjhāyanti': 6, 'nijjhāyeyya': 5, 'nijjhāyatha': 1}"
"nīyāti"	"pr"	""	"√nī 1 (lead, carry)"	"āti pr"	"28"	"{'nīyanti': 18, 'nīyare': 4, 'nīyetha': 3, 'nīyissanti': 2, 'nīyissati': 1}"
"pacchānipātī"	"adj"	""	""	"ī adj"	"28"	"{'pacchānipātī': 22, 'pacchānipātinī': 5, 'pacchānipātiniyo': 1}"
"papā"	"fem"	""	"√pā 1 (drink)"	"ā fem"	"28"	"{'papāto': 19, 'papā': 8, 'papaṃ': 1}"
"paribhāsaka"	"adj"	""	"√bhās 1 (speak)"	"a adj"	"28"	"{'paribhāsako': 21, 'paribhāsakā': 7}"
"paripphosakaṃ"	"ind"	""	"√phus 1 (sprinkle, splash)"	""	"28"	"{'paripphosakaṃ': 28}"
"paripucchati"	"pr"	""	"√pucch 1 (ask, question)"	"ati pr"	"28"	"{'paripucchati': 19, 'paripucchatha': 3, 'paripucchanti': 2, 'paripucchasi': 2, 'paripuccheyyāsi': 1, 'paripuccha': 1}"
"parisaṅkita"	"pp"	""	"√saṅk 1 (doubt, suspect)"	"a pp"	"28"	"{'parisaṅkito': 15, 'parisaṅkitaṃ': 9, 'parisaṅkitassa': 2, 'parisaṅkite': 2}"
"pariyādinna"	"pp"	""	"√ādā 3 (take, seize)"	"a pp"	"28"	"{'pariyādinnaṃ': 27, 'pariyādinnā': 1}"
"pāṭibhoga"	"masc"	""	"√bhuj 2 (use, eat, enjoy)"	"a masc"	"28"	"{'pāṭibhogo': 28}"
"paṭiggahetabba"	"ptp"	""	"√gah 6 (grasp)"	"a ptp"	"28"	"{'paṭiggahetabbā': 14, 'paṭiggahetabbaṃ': 7, 'paṭiggahetabbo': 5, 'paṭiggahetabbāni': 2}"
"patissata"	"adj"	""	"√sar 1 (remember)"	"a adj"	"28"	"{'patissato': 20, 'patissatā': 6, 'patissatānaṃ': 2}"
