id	pali_1	Fin	sbs_class_anki	pos	grammar	derived_from	neg	verb	trans	plus_case	meaning_1	ru_meaning	sbs_meaning	root_pali	root_base	construction	phonetic	derivative	suffix	compound_type	compound_construction	sanskrit	root_sk	variant	commentary	notes	sbs_notes	ru_notes	source_1	sutta_1	example_1	sbs_chant_pali_1	sbs_chant_eng_1	sbs_chapter_1	source_2	sutta_2	example_2	sbs_chant_pali_2	sbs_chant_eng_2	sbs_chapter_2	sbs_source_3	sbs_sutta_3	sbs_example_3	sbs_chant_pali_3	sbs_chant_eng_3	sbs_chapter_3	sbs_source_4	sbs_sutta_4	sbs_example_4	sbs_chant_pali_4	sbs_chant_eng_4	sbs_chapter_4	sbs_source_5	sbs_sutta_5	sbs_example_5	sbs_chant_pali_5	sbs_chant_eng_5	sbs_chapter_5	sbs_index	stem	pattern	sbs_category	sbs_class	count	sbs_audio	move	Feedback
42562	paricarati 3	p	6	pr					trans	+acc	enjoys; indulges; has sex with; lit. walks around			√car 1 a (to move, walk)	√car + a > cara	pari + cara + ti						paricarati	√car		(VIN 1.2.4) <b>paricareyyā</b>'ti abhirameyya.				VIN PAT SA 4	attakāmapāricariyasikkhāpadaṃ	etadaggaṃ bhagini pāricariyānaṃ yā mādisaṃ sīlavantaṃ kalyāṇadhammaṃ brahmacāriṃ etena dhammena <b>paricareyyā</b>'ti methun'upasaṃhitena, saṅghādiseso.																													paricar	ati pr	49	6	51	[sound:paricarati.mp3]		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=paricarati 3&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
39532	pacālaka 1	pp	6	adj		pacāleti					swinging; swaying; shaking; nodding			√cal 1 a (to shake, tremble)		pa + √cal > cāl + *aka	a > ā	kita	*aka			pracālaka	√cal						VIN PAT SE 15	kāyappacālakasikkhāpadaṃ	na kāya<b>ppacālakaṃ</b> antaraghare gamissāmī'ti sikkhā karaṇīyā.				VIN PAT SE 17	bāhuppacālakasikkhāpadaṃ	na bāhu<b>ppacālakaṃ</b> antaraghare gamissāmī'ti sikkhā karaṇīyā.																							pacālak	a adj	49			[sound:pacālaka.mp3]		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=pacālaka 1&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
37874	nisīdati	ss	6	pr					intrans	+loc	sits (on); sits down (in)			√sad 1 a (to sink, sit, settle)	√sad > sīd + a > sīda (irreg)	ni + sīda + ti	a > ī					niṣīdati	√sad						SNP 22	uṭṭhānasuttaṃ<br/>cūḷavaggo 10	uṭṭhahatha <b>nisīdatha</b>,<br/>ko attho supitena vo,<br/>āturānañ'hi kā niddā,<br/>sallaviddhāna ruppataṃ.	Pakiṇṇaka-gāthā	Miscellaneous Verses	Verses	DN 22.2	mahāsatipaṭṭhānasuttaṃ	idha, bhikkhave, bhikkhu araññagato vā rukkhamūlagato vā suññ'āgāragato vā <b>nisīdati</b> pallaṅkaṃ ābhujitvā ujuṃ kāyaṃ paṇidhāya parimukhaṃ satiṃ upaṭṭhapetvā	Ānāpānassati	Mindfulness of Breathing	Teachings																			22n	nisīd	ati pr	49	3	229	[sound:nisīdati.mp3]		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=nisīdati&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
36825	nidhi 1	p	6	masc		nidahati					treasure; trove; hoard; lit. put down			√dhā 1 a (to place, support)		ni + √dhā + i		kita	i			nidhi	√dhā						TH 262	tālapuṭattheragāthā	kadā iṇ'aṭṭo'va daliddako <b>nidhiṃ</b>,<br/>ārādhayitvā dhanikehi pīḷito,<br/>tuṭṭho bhavissaṃ adhigamma sāsanaṃ,<br/>mah'esino taṃ nu kadā bhavissati.				DHP 76	paṇḍitavaggo	<b>nidhīnaṃ</b>'va pavattāraṃ,<br/>yaṃ passe vajjadassinaṃ,<br/>niggayhavādiṃ medhāviṃ,<br/>tādisaṃ paṇḍitaṃ bhaje,<br/>tādisaṃ bhajamānassa,<br/>seyyo hoti na pāpiyo.																							nidh	i masc	49		19	[sound:nidhi.mp3]		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=nidhi 1&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
36797	niddisi 1	p	6	aor		niddisati			trans	+acc	indicated; pointed out; designated; appointed			√dis 1 a (to point out, explain)		nī + √dis + i	īd > idd					niradikṣat	√diś						VIN PAT NP 10	rājasikkhāpadaṃ	so ce dūto taṃ veyyāvaccakaraṃ saññāpetvā taṃ bhikkhuṃ upasaṅkamitvā evaṃ vadeyya, yaṃ kho, bhante, āyasmā veyyāvaccakaraṃ <b>niddisi</b>, saññatto so mayā, upasaṅkamat'āyasmā kālena, cīvarena taṃ acchādessatī'ti.																													niddis	i aor	49		5	[sound:niddisi.mp3]		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=niddisi 1&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
36915	niggayhavādī	p	6	adj	comp						who reproves; who rebukes; who blames; lit. who speaks blaming					niggayha + vādī				kammadhāraya	niggayha + vādī	grahāya + vādin							DHP 76	paṇḍitavaggo	nidhīnaṃ'va pavattāraṃ,<br/>yaṃ passe vajjadassinaṃ,<br/><b>niggayhavādiṃ</b> medhāviṃ,<br/>tādisaṃ paṇḍitaṃ bhaje,<br/>tādisaṃ bhajamānassa,<br/>seyyo hoti na pāpiyo.																													niggayhavād	ī adj	49			[sound:niggayhavādī.mp3]		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=niggayhavādī&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
35030	nahāru	s	6	masc		nayhati					tendon; sinew; lit. binding			√nah 3 ya (to bind, arm)		√nah + āru		kita	āru			snāyu	√ṇah	nhāru					AN 2.5	upaññātasuttaṃ	appaṭivānī sud'āhaṃ, bhikkhave, padahāmi, kāmaṃ taco ca <b>nahāru</b> ca aṭṭhi ca avasissatu, sarīre upasussatu maṃsalohitaṃ, yaṃ taṃ purisathāmena purisavīriyena purisaparakkamena pattabbaṃ na taṃ apāpuṇitvā vīriyassa saṇṭhānaṃ bhavissatī'ti.	Dhamma-pahaṃsāna	Striving According to the Dhamma	Teachings	MN 62	mahārāhulovādasuttaṃ	yaṃ kiñci, rāhula, ajjhattaṃ paccattaṃ kakkhaḷaṃ kharigataṃ upādinnaṃ, seyyath'idaṃ, kesā lomā nakhā dantā taco, maṃsaṃ <b>nahāru</b> aṭṭhi aṭṭhimiñjaṃ vakkaṃ … ayaṃ vuccati, rāhula, ajjhattikā pathavīdhātu																						28n	nahār	u masc	49		13	[sound:nahāru.mp3]		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=nahāru&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
59840	thāvara	ps	6	adj		tiṭṭhati					stationary; immobile; arahant; (comm) without craving			√ṭhā 1 a (to stand)		√ṭhā + [v] + ara	+v	kita	ara			sthāvara	√sthā		(MNa) <b>tasā</b> vuccanti sataṇhā, <b>thāvarā</b> nittaṇhā.<br/>(KPa) tasantī'ti <b>tasā</b>, sataṇhānaṃ sabhayānañ'c'etaṃ adhivacanaṃ. tiṭṭhantī'ti <b>thāvarā</b>, pahīnataṇh'ābhayānaṃ arahataṃ etaṃ adhivacanaṃ.				DHP 405	brāhmaṇavaggo	nidhāya daṇḍaṃ bhūtesu,<br/>tasesu <b>thāvaresu</b> ca,<br/>yo na hanti na ghāteti,<br/>tam'ahaṃ brūmi brāhmaṇaṃ.				KHP 9	karaṇīya mettasuttaṃ	ye keci pāṇabhūt'atthi,<br/>tasā vā <b>thāvarā</b> vā anavasesā,<br/>dīghā vā y'eva mahantā vā,<br/>majjhimā rassakā aṇukathūlā.	Karaṇīya-metta-sutta	The Buddha’s Words on Loving-Kindness	Protective Recitations																			53n	thāvar	a adj	49			[sound:thāvara.mp3]		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=thāvara&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
58979	tasa	ps	6	adj		tasati					moving; mobile; (comm) with craving; lit. shaking			√tas 1 a (to tremble, fear)		√tas + a		kita	a			trasta	√tras		(MNa) <b>tasā</b> vuccanti sataṇhā, <b>thāvarā</b> nittaṇhā.<br/>(KPa) tasantī'ti <b>tasā</b>, sataṇhānaṃ sabhayānañ'c'etaṃ adhivacanaṃ. tiṭṭhantī'ti <b>thāvarā</b>, pahīnataṇh'ābhayānaṃ arahataṃ etaṃ adhivacanaṃ.				DHP 405	brāhmaṇavaggo	nidhāya daṇḍaṃ bhūtesu,<br/><b>tasesu</b> thāvaresu ca,<br/>yo na hanti na ghāteti,<br/>tam'ahaṃ brūmi brāhmaṇaṃ.				KHP 9	karaṇīya mettasuttaṃ	ye keci pāṇabhūt'atthi,<br/><b>tasā</b> vā thāvarā vā anavasesā,<br/>dīghā vā y'eva mahantā vā,<br/>majjhimā rassakā aṇukathūlā.	Karaṇīya-metta-sutta	The Buddha’s Words on Loving-Kindness	Protective Recitations																			53n	tas	a adj	49			[sound:tasa.mp3]		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=tasa&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
25795	jeṭṭha 1	p	6	adj	compar	vuḍḍha					first; elder; eldest; foremost						vuḍḍha > je (Kacc 262, 391)					jyeṣṭha							AN 8.11	verañjasuttaṃ	<b>jeṭṭho</b> bhavaṃ gotamo seṭṭho bhavaṃ gotamo				SN 7.15	mānatthaddhasuttaṃ	mātari pitari c'āpi, atho <b>jeṭṭhamhi</b> bhātari. ācariye catutthamhi, tesu na mānaṃ kayirātha.																							jeṭṭh	a adj	49			[sound:jeṭṭha.mp3]		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=jeṭṭha 1&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
17437	cīvare vikappaṃ āpajjati	p	6	idiom	nt + masc + pr						causes an alteration to the robe; suggests an improvement of the robe											cīvare + vikalpam + āpadyate			(VIN 1.4.1.8) <b>cīvare vikappaṃ āpajjeyyā</b>'ti āyataṃ vā hotu vitthataṃ vā appitaṃ vā saṇhaṃ vā.				VIN PAT NP 8	paṭhamaupakkhaṭasikkhāpadaṃ	tatra ce so bhikkhu pubbe appavārito upasaṅkamitvā <b>cīvare vikappaṃ āpajjeyya</b>, sādhu vata maṃ āyasmā iminā cīvaracetāpannena evarūpaṃ vā evarūpaṃ vā cīvaraṃ cetāpetvā acchādehī'ti				VIN PAT NP 27	mahāpesakārasikkhāpadaṃ	bhikkhuṃ pan'eva uddissa aññātako gahapati vā gahapatānī vā tantavāyehi cīvaraṃ vāyāpeyya, tatra ce so bhikkhu pubbe appavārito tantavāye upasaṅkamitvā <b>cīvare vikappaṃ āpajjeyya</b>																							-		49			[sound:cīvare vikappaṃ āpajjati.mp3]		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=cīvare vikappaṃ āpajjati&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
17173	cirapabbajita	s	6	adj	comp						ordained long ago; of long standing as a monastic					cira + pabbajita				kammadhāraya	cira + pabbajita				(ANa) ciraṃ pabbajitānaṃ etesan'ti <b>cirapabbajitā</b>.				SNP 32	sabhiyasuttaṃ	ye'pi kho te bhonto samaṇabrāhmaṇā jiṇṇā vuḍḍhā mahallakā addhagatā vayoanuppattā therā rattaññū <b>cirapabbajitā</b> saṅghino gaṇino gaṇ'ācariyā ñātā yasassino titthakarā sādhusammatā bahujanassa				AN 7.23	paṭhamasattakasuttaṃ	yāvakīvañ'ca bhikkhave bhikkhū ye te bhikkhū therā rattaññū <b>cirapabbajitā</b> saṅghapitaro saṅghapariṇāyakā te sakkarissanti garuṃ karissanti mānessanti pūjessanti tesañ'ca sotabbaṃ maññissanti	Aparihāniya-dhammā	Principles of Non-Decline	Teachings																			27n	cirapabbajit	a adj	49			[sound:cirapabbajita.mp3]	moved	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=cirapabbajita&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
15699	cakkhumant 2	p	6	masc		cakkhu					person with sight; who can see; lit. having eyes quality			√cakkh 1 a (to see)		√cakkh + u + mant<br/>cakkhu + mant		taddhita	mant			cakṣuṣmat	√cakṣ						MN 75	māgaṇḍiyasuttaṃ	so suṇeyya <b>cakkhumato</b> bhāsamānassa, chekaṃ vata, bho, odātaṃ vatthaṃ abhirūpaṃ nimmalaṃ sucī'ti!				DN 3.15	ambaṭṭhasuttaṃ	<b>cakkhumanto</b> rūpāni dakkhantī'ti, evam'evaṃ bhotā gotamena anekapariyāyena dhammo pakāsito.																							cakkhum	ant masc	49	6	209	[sound:cakkhumant.mp3]		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=cakkhumant 2&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
71006	garu 5	ss	6	masc							respect; honour			√gar 1 a (to esteem, be heavy)		√gar + u		kita	u			guru	√gur		(MNa) garuṃ karontī'ti <b>garukaraṇā</b>.				MN 48	kosambiyasuttaṃ	cha'y'ime, bhikkhave, dhammā sāraṇīyā piyakaraṇā <b>garu</b>karaṇā saṅgahāya avivādāya sāmaggiyā ekībhāvāya saṃvattanti.	Cha sāraṇīya-dhammā	Principles of Cor diality	Teachings	AN 7.23	paṭhamasattakasuttaṃ	yāvakīvañ'ca bhikkhave bhikkhū ye te bhikkhū therā rattaññū cirapabbajitā saṅghapitaro saṅghapariṇāyakā te sakkarissanti <b>garuṃ</b> karissanti mānessanti pūjessanti tesañ'ca sotabbaṃ maññissanti	Aparihāniya-dhammā	Principles of Non-Decline	Teachings																			27n	gar	u masc	49	6	320	[sound:garu.mp3]		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=garu 5&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
22842	garu 3	p	6	adj		√gar					respected; esteemed; giving weight to			√gar 1 a (to esteem, be heavy)		√gar + u		kita	u			guru	√gur						AN 10.71	ākaṅkhasuttaṃ	ākaṅkheyya ce, bhikkhave, bhikkhu, sabrahmacārīnaṃ piyo c'assaṃ manāpo ca <b>garu</b> ca bhāvanīyo cā'ti, sīlesv'ev'assa paripūrakārī ajjhattaṃ cetosamatham'anuyutto anirākatajjhāno vipassanāya samannāgato brūhetā suññ'āgārānaṃ.				NIDD2 2.1	ajita māṇava pucchā niddesa	āyasmā'ti piyavacanaṃ <b>garu</b>vacanaṃ sagāravasappatissādhivacanam'etaṃ āyasmā'ti.																							gar	u adj	49	11	320	[sound:garu.mp3]		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=garu 3&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
29142	khemī	ps	6	adj		khema					at peace; safe; at rest			√khi 1 a (to live, abide peacefully)		√khi > khe + *ma + ī<br/>khema + ī	i > e	taddhita	ī			kṣemin	√kṣi						DHP 258	dhammaṭṭhavaggo	na tena paṇḍito hoti,<br/>yāvatā bahu bhāsati,<br/><b>khemī</b> averī abhayo,<br/>paṇḍito'ti pavuccati.				KHP 9	karaṇīya mettasuttaṃ	na ca khuddam'ācare kiñci,<br/>yena viññū pare upavadeyyuṃ,<br/>sukhino'va <b>khemino</b> hontu,<br/>sabbe sattā bhavantu sukhit'attā.	Karaṇīya-metta-sutta	The Buddha’s Words on Loving-Kindness	Protective Recitations																			53n	khem	ī adj	49	6	40	[sound:khemī.mp3]		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=khemī&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
26678	kalyāṇadhamma	p	6	adj	comp						good-natured; upright nature; of solid character; virtuous					kalyāṇa + dhamma				kammadhāraya	kalyāṇa + dhamma	kalyāṇadharman			(VIN 1.2.4) <b>kalyāṇadhammo</b> nāma tena ca sīlena tena ca brahmacariyena kalyāṇadhammo hoti.				VIN PAT SA 4	attakāmapāricariyasikkhāpadaṃ	etadaggaṃ bhagini pāricariyānaṃ yā mādisaṃ sīlavantaṃ <b>kalyāṇadhammaṃ</b> brahmacāriṃ etena dhammena paricareyyā'ti methun'upasaṃhitena, saṅghādiseso.				AN 3.27	jigucchitabbasuttaṃ	katamo ca, bhikkhave, puggalo sevitabbo bhajitabbo payirupāsitabbo? idha, bhikkhave, ekacco puggalo sīlavā hoti <b>kalyāṇadhammo</b>.																							kalyāṇadhamm	a adj	49			[sound:kalyāṇadhamma.mp3]		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=kalyāṇadhamma&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
21294	ehi tvaṃ	s	6	idiom	imp + pron						come you! come!																		MN 107	anupubba-sikkhā	<b>ehi tvaṃ,</b> bhikkhu, sīlavā hohi, pātimokkhasaṃvarasaṃvuto viharāhi ācāragocarasampanno aṇumattesu vajjesu bhayadassāvī, samādāya sikkhassu sikkhāpadesū'ti	Anupubba-sikkhā	The Gradual Training	Teachings																									18n	-		49			[sound:ehi tvaṃ.mp3]		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=ehi tvaṃ&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
21681	ekavihārī	p	6	adj	agent, comp						hermetic; who lives alone					eka + vihārī				kammadhāraya	eka + vihārī	eka + vihārin							SN 21.10	theranāmakasuttaṃ	tena kho pana samayena aññataro bhikkhu theranāmako <b>ekavihārī</b> c'eva hoti ekavihārassa ca vaṇṇavādī.				SN 21.10	theranāmakasuttaṃ	sabb'ābhibhuṃ sabbaviduṃ sumedhaṃ,<br/>sabbesu dhammesu anūpalittaṃ,<br/>sabbañ'jahaṃ taṇhākkhaye vimuttaṃ,<br/>tam'ahaṃ naraṃ <b>ekavihārī</b>'ti brūmī'ti.																							ekavihār	ī adj	49			[sound:ekavihārī.mp3]		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=ekavihārī&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
63387	upekkhaka	s	6	adj		upekkhā					mental poised; mentally balanced; equanimous; non-reactive; looking on; disregarding; lit. onlooker			√ikkh 1 a (to see, mark)	√ikkh + a > ikkha	upa + ikkha + ā + ka<br/>upekkhā + ka	i > e	taddhita	ka			upekṣaka	√īkṣ						MN 152	indriyabhāvanāsuttaṃ	<b>upekkhako</b> vihareyyaṃ sato sampajāno'ti	Ariy’aṭṭhaṅgika-magga	The Noble Eightfold Path	Teachings	SNP 51	mahābyūhasuttaṃ<br/>aṭṭhakavaggo 13	vissajja ganthāni mun'īdha loke,<br/>vivādajātesu na vaggasārī,<br/>santo asantesu <b>upekkhako</b> so,<br/>anuggaho uggahaṇanti m'aññe.																						21n	upekkh	aka adj	49	11	159	[sound:upekkhaka.mp3]		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=upekkhaka&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
63152	upasussati	s	6	pr					intrans		dries up; withers; shrivels			√sus 3 ya (to dry, wither)	√sus + ya > sussa	upa + sussa + ti	y > s					upaśuṣyati	√śuṣ						AN 2.5	upaññātasuttaṃ	appaṭivānī sud'āhaṃ, bhikkhave, padahāmi, kāmaṃ taco ca nahāru ca aṭṭhi ca avasissatu, sarīre <b>upasussatu</b> maṃsalohitaṃ, yaṃ taṃ purisathāmena purisavīriyena purisaparakkamena pattabbaṃ na taṃ apāpuṇitvā vīriyassa saṇṭhānaṃ bhavissatī'ti.	Dhamma-pahaṃsāna	Striving According to the Dhamma	Teachings																									28n	upasuss	ati pr	49		8	[sound:upasussati.mp3]		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=upasussati&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
63210	upaṭṭhāna 1	s	6	nt		upaṭṭhahati				+dat	attending; waiting on; serving; lit. standing near			√ṭhā 1 a (to stand)		upa + √ṭhā + ana		kita	ana			upasthāna	√sthā						API 17	mahāpajāpatigotamītherīapadānaṃ	evaṃ vilapamānaṃ taṃ,<br/>ānandaṃ āha gotamī,<br/>sutasāgaragambhīra,<br/>buddha-<b>upaṭṭhāna</b>tappara.				SNP 16	maṅgalasuttaṃ<br/>cūḷavaggo 4	mātāpitu <b>upaṭṭhānaṃ</b>, puttadārassa saṅgaho.<br/>anākulā ca kamm'antā, etaṃ maṅgalam'uttamaṃ.	Maṅgala-sutta	The Highest Blessings	Protective Recitations																			51n	upaṭṭhān	a nt	49		28	[sound:upaṭṭhāna.mp3]		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=upaṭṭhāna 1&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
63989	uttarichappañcavācā	p	6	fem	comp						more than five or six sentences; more than five or six lines					uttari + chappañca + vācā				pañcamī tappurisa	uttari + chappañcavāc<b>āya</b>	uttarin + pañca + ṣaṣ + vācā			(VIN 2.5.1.7) <b>uttarichappañcavācāhī</b>'ti atirekachappañcavācāhi.<br/>(KVa) <b>uttarichappañcavācāhī</b>'ti ettha eko gāthāpādo ekā vācā'ti evaṃ sabbattha vācāpamāṇaṃ veditabbaṃ.				VIN PAT PC 7	dhammadesanāsikkhāpadaṃ	yo pana bhikkhu mātugāmassa <b>uttarichappañcavācāhi</b> dhammaṃ deseyya aññatra viññunā purisaviggahena, pācittiyaṃ.																													uttarichappañcavāc	ā fem	49			[sound:uttarichappañcavācā.mp3]		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=uttarichappañcavācā&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
8148	āpajjati 5	p	6	pr					trans	+acc	causes; effects			√pad 3 ya (to go, step)	√pad + ya > pajja	ā + pajja + ti	dy > jj					āpadyate	√pad		(VIN 1.4.1.8) <b>cīvare vikappaṃ āpajjeyyā</b>'ti āyataṃ vā hotu vitthataṃ vā appitaṃ vā saṇhaṃ vā.				VIN PAT NP 8	paṭhamaupakkhaṭasikkhāpadaṃ	tatra ce so bhikkhu pubbe appavārito upasaṅkamitvā cīvare vikappaṃ <b>āpajjeyya</b>, sādhu vata maṃ āyasmā iminā cīvaracetāpannena evarūpaṃ vā evarūpaṃ vā cīvaraṃ cetāpetvā acchādehī'ti																													āpajj	ati pr	49	4	575	[sound:āpajjati.mp3]		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=āpajjati 5&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
2611	āgāmī 1	p	6	adj		āgacchati					who returns; who comes back			√gam 1 a (to go)		ā + √gam > gām + *ī	a > ā	kita	*ī			āgāmin	√gam						AN 4.171	cetanāsuttaṃ	ko nu kho, bhante, hetu ko paccayo, yena m'idh'ekacce sattā tamhā kāyā cutā <b>āgāmino</b> honti āgantāro itthattaṃ?																													āgām	ī adj	49		7	[sound:āgāmī.mp3]	moved	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=āgāmī 1&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
