ID	Pāli1	Fin	ex	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Phonetic Changes	Derivative	Suffix	Compound	Compound Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Notes SBS	Notes RU	Source1	Sutta1	Example1	Pali chant 1	English chant 1	Chapter 1	Source2	Sutta2	Example2	Pali chant 2	English chant 2	Chapter 2	Source3	Sutta3	Example3	Pali chant 3	English chant 3	Chapter 3	Source4	Sutta4	Example4	Pali chant 4	English chant 4	Chapter 4	Index	Stem	Pattern	Test	class	count	audio	DPD	Pāli-old	eng-old	move	sync	no. for class filter	Feedback
16756	chanda 1	ss	1	masc		chādeti					interest (in); desire (for); wish (for); intention (to); impulse (for)			√chand 8 *e (to desire, please)		√chand + a		kita	a			chanda	√chad		(ANa) idañ'hi idha <b>chando</b>'ti dubbalarāgass'ādhivacanaṃ.<br/>(ANa) <b>chando</b>'ti kattu'kamyatāchando.																SNP 13	ratanasuttaṃ<br/>cūḷavaggo 1	khīṇaṃ purāṇaṃ navaṃ n'atthi sambhavaṃ, virattacitt'āyatike bhavasmiṃ.  <br/>te khīṇabījā avirūḷhi<b>chandā</b>, nibbanti dhīrā yath'āyaṃ padīpo.	Ratana-sutta		Protective Recitations	DN 22.18	mahāsatipaṭṭhānasuttaṃ	anuppannānaṃ kusalānaṃ dhammānaṃ uppādāya <b>chandaṃ</b> janeti vāyamati vīriyaṃ ārabhati cittaṃ paggaṇhāti padahati	Ariy’aṭṭhaṅgika-magga	The Noble Eightfold Path	Teachings	52n	chand	a masc	15	2	595	[sound:chanda.mp3]	√√	chanda 1	interest (in); desire (for); wish (for); intention (to); impulse (for)	moved		911	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=chanda 1&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
70116	yoniso	ps	1	ind	adv, abl sg	yoni					properly; prudently; thoroughly; carefully; intelligently; lit. to the source			√yu 1 a (to unite, fasten)		√yu > yo + *ni + so<br/>yoni + so		taddhita	so			yoniśas																			MN 2.1	sabbāsavasuttaṃ	jānato ahaṃ passato āsavānaṃ khayaṃ vadāmi, no ajānato no apassato. <b>yoniso</b> ca manasikāraṃ ayoniso ca manasikāraṃ.				MN 2.4	sabbāsavasuttaṃ	paṭisaṅkhā <b>yoniso</b> cīvaraṃ paṭisevāmi yāva'd'eva sītassa paṭighātāya uṇhassa paṭighātāya ḍaṃsamakasavāt'ātapasiriṃsapasamphassānaṃ paṭighātāya	Cattaro parikkhāra	The Four Requisites	Reflections	30n	-		15	13	248	[sound:yoniso.mp3]	√√	yoniso	wisely; properly; fundamentally; judiciously; lit. to the origin	moved		3509	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=yoniso&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
1375	ācariya 1	ps	1	masc		ācarati					teacher; religious leader			√car 1 a (to act, behave)		ā + √car + iya		kita	iya			ācārya	√car																		Trad		iminā puññakammena upajjhāyā guṇ'uttarā, <b>ācariy</b>'ūpakārā ca mātāpitā ca ñātakā, suriyo candimā rājā, guṇavantā narā'pi ca	Uddissan'ādhiṭṭhānā	Sharing and Aspirations	Sharing of Merits	AN 4.73	sappurisasuttaṃ	so aparena samayena saṃvāsam'anvāya vissāsam'anvāya <b>ācariyam</b>'pi upajjhāyam'pi evam'āha, apetha, kiṃ pana tumhe jānāthā'ti!				68n	ācariy	a masc	15	2	360	[sound:ācariya.mp3]	√√	ācariya 1	teacher; spiritual teacher	moved		75	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=ācariya 1&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
7617	anusaya	pp	1	masc		anusayati				+dat	underlying tendency (to); inherent inclination (to); dormant disposition (towards); lit. sleeping alongside			√sī 1 a (to lie, sleep)		anu + √sī > say + *a	ī > ay	kita	*a			anuśaya	√śī						AN 6.103	ukkhittāsikasuttaṃ	sabbalokā ca me mano vuṭṭhahissati, nibbāne ca santadassāvī bhavissāmi, <b>anusayā</b> ca me samugghātaṃ gacchissanti, kiccakārī ca bhavissāmi, satthā ca me pariciṇṇo bhavissati mettāvatāyā'ti.										AN 10.60	girimānandasuttaṃ	idh'ānanda, bhikkhu ye loke upādānā cetaso adhiṭṭhān'ābhinives'<b>ānusayā</b>, te pajahanto viharati anupādiyanto. ayaṃ vuccat'ānanda, sabbaloke anabhiratasaññā.											anusay	a masc	15	2	144	[sound:anusaya.mp3]	√√	anusaya	underlying tendency (to); inherent inclination (to); dormant disposition (towards); lit. sleeping alongside (to)	moved		405	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=anusaya&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
15246	brahmavihāra	pns	1	masc	comp						sublime state; heavenly state; divine dwelling; collective name of the meditations on friendliness, compassion, happiness for and equanimity; lit. gods mansion					brahma + vihāra				chaṭṭhī tappurisa	brahm<b>uno</b> + vihāra	brahmavihāra				a collective term for the states of friendliness, compassion, appreciation and equanimity			MN 83	maghadevasuttaṃ	so cattāro <b>brahmavihāre</b> bhāvetvā kāyassa bhedā paraṃ maraṇā brahmalok'ūpago ahosi										Trad		handa mayaṁ catura<b>brahmavihārā</b> obhāsanaṁ karomase	Brahmavihārā	The Divine Abidings	Reflections	SN 54.12	kaṅkheyyasuttaṃ	ānāpānassatisamādhiṃ sammā vadamāno vadeyya, ariyavihāro iti'pi, <b>brahmavihāro</b> iti'pi, tathāgatavihāro iti'pi.				32n	brahmavihār	a masc	15			[sound:brahmavihāra.mp3]	√	brahmavihāra	sublime state; heavenly state; lit. divine dwelling	moved		824	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=brahmavihāra&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
17234	citta 1.1	ss	1	nt		ceteti					mind; heart			√cit 8 *e (to think, intend)		√cit + ta		kita	ta			citta	√cit		(VIN 1.1.3) <b>iti cittamano</b>'ti yaṃ cittaṃ taṃ mano, yaṃ mano taṃ cittaṃ.																MN 107	gaṇakamoggallānasuttaṃ	ehi tvaṃ, bhikkhu, jāgariyaṃ anuyutto viharāhi, divasaṃ caṅkamena nisajjāya āvaraṇīyehi dhammehi <b>cittaṃ</b> parisodhehi	Anupubba-sikkhā	The Gradual Training	Teachings	DN 22.18	mahāsatipaṭṭhānasuttaṃ	bhikkhu anuppannānaṃ pāpakānaṃ akusalānaṃ dhammānaṃ anuppādāya chandaṃ janeti vāyamati vīriyaṃ ārabhati <b>cittaṃ</b> paggaṇhāti padahati	Ariy’aṭṭhaṅgika-magga	The Noble Eightfold Path	Teachings	21n	citt	a nt	15	9	4016	[sound:citta.mp3]	√√	citta 3	mind; heart	moved		928	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=citta 1.1&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
68066	viriya	ps	1	nt	abstr						effort; energy; might; power; lit. virility			√vīr 8 *e (to be heroic, hostile)		√vīr + iya	ī > i	kita	iya			vīrya; vīria	√vīr	vīriya																	Sri Lanka	buddha-vassa-sajjhāyanā	catutthaṃ paññāpārami, pañcamaṃ <b>viriya</b>pārami, chaṭṭhamaṃ khantipārami, sattamaṃ saccapārami				Thai		bojjh'aṅgo satisaṅkhāto dhammānaṃ vicayo tathā <b>viriyam</b>'pītipassaddhi bojjh'aṅgā ca tathā'pare samādh'upekkhabojjh'aṅgā.	Bojjh’aṅga-parittaṃ		Protective Recitations	57n	viriy	a nt	15		10	[sound:viriya.mp3]		viriya	vigour; energy; effort; valour; lit. state of a strong man				"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=viriya&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
19410	dhutaṅga	p	1	nt	comp						ascetic practice; lit. factor of shaking off					dhuta + aṅga				chaṭṭhī tappurisa	dhut<b>assa</b> + aṅga			dhūtaṅga																	NIDD 1.3	duṭṭhaṭṭhakasuttaṃniddeso	aṭṭha <b>dhut'aṅgāni</b>, āraññik'aṅgaṃ, piṇḍapātik'aṅgaṃ, paṃsukūlik'aṅgaṃ, tecīvarik'aṅgaṃ, sapadānacārik'aṅgaṃ, khalupacchābhattik'aṅgaṃ, nesajjik'aṅgaṃ, yathāsanthatik'aṅgaṃ, idaṃ vuccati vataṃ, na sīlaṃ.											dhutaṅg	a nt	15			[sound:dhutaṅga.mp3]		dhutaṅga	ascetic practice; lit. means of shaking off; removal (the defilements)				"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=dhutaṅga&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
5371	ānāpānassati	ps	1	fem	comp						mindfulness while breathing in and out; mindfulness during inhalation and exhalation					ānāpāna + sati				kammadhāraya	ānāpāna + sati	prāṇāpāna + smṛti		ānāpānasati		ten perceptions 1. <i>aniccasaññā</i>, 2. <i>anattasaññā</i>, 3. <i>asubhasaññā</i>, 4. <i>ādīnavasaññā</i>, 5. <i>pahānasaññā</i>, 6. <i>virāgasaññā</i>, 7. <i>nirodhasaññā</i>, 8. <i>sabbaloke anabhiratasaññā</i>, 9. <i>sabbasaṅkhāresu anicchāsaññā</i>, 10. <b>ānāpānassati</b>.															AN 10.60	girimānandasuttaṃ	aniccasaññā, anattasaññā, asubhasaññā, ādīnavasaññā, pahānasaññā, virāgasaññā, nirodhasaññā, sabbaloke anabhiratasaññā, sabbasaṅkhāresu anicchāsaññā, <b>ānāpānassati</b>.				MN 118	ānāpānassatisuttaṃ	<b>ānāpānassati</b> bhikkhave bhāvitā bahulīkatā mahapphalā hoti mahānisaṃsā	Ānāpānassati	Mindfulness of Breathing	Teachings	22n	ānāpānassat	i fem	15			[sound:ānāpānassati.mp3]	√√	ānāpānassati	mindfulness while breathing in and out breathing; mindfulness during inhalation and exhalation	moved		288	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=ānāpānassati&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
10714	asubha 1	ps	1	adj		sobhati	neg				ugly; disgusting; foul; unattractive; lit. not beautiful			√subh 1 *a (to shine, adorn)		na > a + √subh + a		kita	a	kammadhāraya	na + subha		√śubh																		AN 1.11-20	nīvaraṇappahāna vaggo	<b>asubha</b>nimittaṃ yoniso manasi karoto anuppanno c'eva kāmacchando n'uppajjati uppanno ca kāmacchando pahīyati				AN 7.27	saññāsuttaṃ	yāvakīvañ'ca, bhikkhave, bhikkhū <b>asubha</b>saññaṃ bhāvessanti	Aparihāniya-dhammā	Principles of Non-Decline	Teachings	27n	asubh	a adj	15			[sound:asubha.mp3]	√	asubha 1	ugly; disgusting; foul; unattractive; lit. not beautiful	moved		567	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=asubha 1&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
24386	hiri	nn	1	fem		√hir					sense of shame; modesty; conscience; sense of right and wrong; scruples			√hir 3 ya (to be ashamed)		√hir + i		kita	i			hrī	√hrī		(DHPa) api c'ettha ajjhattasamuṭṭhānā <b>hirī</b>, bahiddhāsamuṭṭhānaṃ <b>ottappaṃ</b>.				AN 7.65	hirīottappasuttaṃ	<b>hiri</b>ottappe, bhikkhave, sati <b>hiri</b>ottappasampannassa upanisasampanno hoti indriyasaṃvaro				SNP 37	nālakasuttaṃ<br/>mahāvaggo 11	sutvā dhīrānaṃ nigghosaṃ,<br/>jhāyīnaṃ kāmacāginaṃ,<br/>tato<b> hiriñ</b>'ca saddhañ'ca,<br/>bhiyyo kubbetha māmako.																	hir	i fem	15	8	88	[sound:hiri.mp3]	√√	hiri	sense of shame; modesty; conscience; sense of right and wrong; scruples; (comm) due the internal	moved		1271	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=hiri&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
24432	hitesī	s	1	adj	comp						benevolent; who wishes one well; who wants the best for; lit. seeking benefit					hita + esī				dutiyā tappurisa	hit<b>aṃ</b> + esī	hitaiṣin			(SNa) <b>hitesinā</b>'ti hitaṃ esantena.																						MN 19	dvedhāvitakkasuttaṃ	yaṃ, bhikkhave, satthārā karaṇīyaṃ sāvakānaṃ <b>hit'esinā</b> anukampakena anukampaṃ upādāya, kataṃ vo taṃ mayā.	Pakiṇṇaka-gāthā	Miscellaneous Verses	Verses	15n	hites	ī adj	15			[sound:hitesī.mp3]	√	hitesī	benevolent; who wishes one well; who wants the best for; lit. seeking benefit			1278	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=hitesī&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
68902	viveka 1	ss	1	masc		viviccati					seclusion; solitude; detachment; disengagement; independence			√vic 1 a (to separate)		vi + √vic > vec > vek + *a	i > e<br/>c > k	kita	*a			viveka	√vic		(ANa) <b>viveko</b>'ti kāyacittaupadhiviveko.				DN 22.18	mahāsatipaṭṭhānasuttaṃ	bhikkhu vivicc'eva kāmehi vivicca akusalehi dhammehi, savitakkaṃ savicāraṃ <b>viveka</b>jaṃ pītisukhaṃ paṭhamaṃ jhānaṃ upasampajja viharati	Ariy’aṭṭhaṅgika-magga	The Noble Eightfold Path	Teachings	TH 257	pārāpariyattheragāthā	araññe rukkhamūlesu, kandarāsu guhāsu ca.<br/><b>vivekam</b>'anubrūhantā, vihaṃsu tap'parāyanā	Pārāpariya-thera-gāthā	From the Elder Pārāpariya	Verses													13n	vivek	a masc	15	2	354	[sound:viveka.mp3]	√√	viveka 1	seclusion; solitude; detachment; disengagement			3399	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=viveka 1&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
