Pāli1	Fin	ex	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Pali chant 1	English chant 1	Chapter 1	Source2	Sutta2	Example2	Pali chant 2	English chant 2	Chapter 2	Source3	Sutta3	Example3	Pali chant 3	English chant 3	Chapter 3	Index	Stem	Pattern	Test	class	count	audio	Feedback
phala 1	pss	1	nt		phalati					fruit			√phal 1 a (to fruit, ripen)		√phal + a	phala	√phal				SN 6.12	devadattasuttaṃ	<b>phalaṃ</b> ve kadaliṃ hanti, <b>phalaṃ</b> veḷuṃ <b>phalaṃ</b> naḷaṃ.<br/>sakkāro kāpurisaṃ hanti, gabbho assatariṃ yathā”ti.				TH 251	raṭṭhapālattheragāthā	duma-<b>pphalānī</b>’va patanti māṇavā, daharā ca vuḍḍhā ca sarīra-bhedā. <br/>etam’pi disvā pabbajito’mhi rāja, apaṇṇakaṃ sāmaññam’eva seyyo.	Raṭṭhapāla-thera-gāthā	From the Elder Raṭṭhapāla	Verses			<b>phala</b>kuṭi sāsan'ārakkhe hoti			SBS	12n	phal	a nt	83	9	361	[sound:phala.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=phala 1&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
ottappa	pns	1	nt		ottappati					regret; shame in wrongdoing; (comm) due to external			√tapp 1 a (to regret)		ava + √tapp + a	anutapta, apatrapaṇa	√trap		(DHPa) api cettha ajjhattasamuṭṭhānā hirī, bahiddhāsamuṭṭhānaṃ ottappaṃ. 		AN 2.9	cariyasuttaṃ	ime kho hirī ca <b>ottappañ</b>’ca lokaṃ na pāleyyuṃ, na’y’idha paññāyetha mātā’ti vā mātucchā’ti vā mātulānī’ti vā ācariya-bhariyā’ti vā garūnaṃ dārā’ti				MN 8	sallekhasuttaṃ	ahirikassa purisapuggalassa hirī hoti parikkamanāya, anottāpissa purisapuggalassa <b>ottappaṃ</b> hoti parikkamanāya						<b>ottappa</b>kuṭi sāsan'ārakkhe hoti			SBS	00n	ottapp	a nt	83	9	50	[sound:ottappa.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=ottappa&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
khemaka 2	nns	1	adj		khema					one at peace; who is safe			√khi 1 a (to live, abide peacefully)		√khi > khe + *ma + ka<br/>khema + ka	kṣemaka	√kṣi				SN 22.89	khemakasuttaṃ	tena kho pana samayena āyasmā <b>khemako</b> badarik'ārāme viharati ābādhiko dukkhito bāḷhagilāno.				API 36	abhirūpanandātherīapadānaṃ	dhītā <b>khemaka</b>-sakkassa, nandā nāmāti vissutā.						<b>khemakā</b> sālā sāsan'ārakkhe hoti			SBS	00n	khemak	a adj	83			[sound:khemaka.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=khemaka 2&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
khanti 1	pps	1	fem	abstr	khamati					patience; endurance; tolerance			√kham 1 a (to tolerate, endure)		√kham + ti	kṣānti	√kṣam		(SNa) <b>khantiyā</b>'ti adhivāsanakhantiyā.		SN 11.4	vepacittisuttaṃ	yo have balavā santo, dubbalassa titikkhati. tam’āhu paramaṃ <b>khantiṃ</b>, niccaṃ khamati dubbalo.				AN 4.61	pattakammasuttaṃ	samaṇabrāhmaṇā mada-ppamādā paṭiviratā <b>khanti</b>-soracce niviṭṭhā ekam’attānaṃ damenti, ekam’attānaṃ samenti, ekam’attānaṃ parinibbāpenti, 						<b>khanti</b>kuṭi sāsan'ārakkhe hoti			SBS	00n	khant	i fem	83			[sound:khanti.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=khanti 1&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
hitesī	ss	1	adj	comp						benevolent; who wishes one well; who wants the best for; lit. seeking benefit					hita + esī	hitaiṣin											MN 19	dvedhāvitakkasuttaṃ	yaṃ, bhikkhave, satthārā karaṇīyaṃ sāvakānaṃ <b>hit’esinā</b> anukampakena anukampaṃ upādāya, kataṃ vo taṃ mayā.	Pakiṇṇaka-gāthā	Miscellaneous Verses	Verses			<b>hit'esī</b>kuṭi sāsan'ārakkhe hoti			SBS	15n	hites	ī adj	83			[sound:hitesī.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=hitesī&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
hiri	nns	1	fem							sense of shame; modesty; conscience; sense of right and wrong; scruples; (comm) due the internal			√hir 3 ya (to be ashamed)		√hir + i	hrī	√hrī		(DHPa) api cettha ajjhattasamuṭṭhānā hirī, bahiddhāsamuṭṭhānaṃ ottappaṃ. 		AN 7.65	hirīottappasuttaṃ	<b>hiri</b>-ottappe, bhikkhave, sati <b>hiri</b>-ottappasampannassa upanisasampanno hoti indriyasaṃvaro				SNP 37	nālakasuttaṃ<br/>mahāvaggo 11	sutvā dhīrānaṃ nigghosaṃ,<br/>jhāyīnaṃ kāmacāginaṃ,<br/>tato<b> hiriñ</b>'ca saddhañ'ca,<br/>bhiyyo kubbetha māmako.						<b>hiri</b>kuṭi sāsan'ārakkhe hoti			SBS	00n	hir	i fem	83	8	88	[sound:hiri.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=hiri&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
dhūta	nns	1	nt	pp	dhunāti					ascetic practice; lit. shaking off; removal			√dhū 5 nā (to shake)		√dhū + ta	dhuta	√dhū	dhuta			VIN 1.2.10	saṅghabhedasikkhāpadaṃ	bhagavā bhante anekapariyāyena appicchassa santuṭṭhassa sallekhassa <b>dhūtassa</b> pāsādikassa appaccayassa viriy'ārambhassa vaṇṇavādī				VIN 1.2.10	saṅghabhedasikkhāpadaṃ	ime kho samaṇā sakyaputtiyā <b>dhūtā</b> sallekhavuttino samaṇo pana gotamo bāhulliko bāhullāya cetetīti.						<b>dhūta</b>kuṭi sāsan'ārakkhe hoti			SBS	00n	dhūt	a nt	83		20	[sound:dhūta.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=dhūta&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
cāga 2	pns	1	masc		cajati					generosity; sharing; liberality			√caj 1 a (to give up, let go)		√caj > cag + *a	tyāga	√tyaj				AN 3.71	uposathasuttaṃ	tassa attano ca tāsañ’ca devatānaṃ saddhañ’ca sīlañ’ca sutañ’ca <b>cāgañ</b>’ca paññañ’ca anussarato cittaṃ pasīdati				SN 37.34	vaḍḍhīsuttaṃ	saddhāya vaḍḍhati, sīlena vaḍḍhati, sutena vaḍḍhati, <b>cāgena</b> vaḍḍhati, paññāya vaḍḍhati.						<b>cāga</b>kuṭi sāsan'ārakkhe hoti			SBS	00n	cāg	a masc	83	2	159	[sound:cāga.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=cāga 2&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
abyāpāda	pss	1	masc	abstr	na byāpajjati	neg				goodwill; kindness; friendliness; benevolence; lit. not ill-will			√pad 3 ya (to go, step)		na + vi + ā + √pad + *a	na + vyāpādya	√pad				MN 19	dvedhāvitakkasuttaṃ	pahāsi byāpāda-vitakkaṃ, <b>abyāpāda</b>-vitakkaṃ bahulamakāsi, tassaṃ taṃ abyāpāda-vitakkāya cittaṃ namati.				DN 22.18	mahāsatipaṭṭhānasuttaṃ	nekkhamma-saṅkappo, <b>abyāpāda</b>-saṅkappo, avihiṃsā-saṅkappo, ayaṃ vuccati bhikkhave sammā-saṅkappo.	Ariy’aṭṭhaṅgika-magga	The Noble Eightfold Path	Teachings			<b>abyāpāda</b>kuṭi sāsan'ārakkhe hoti			SBS	21n	abyāpād	a masc	83	2	86	[sound:abyāpāda.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=abyāpāda&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
sāsanarakkha	nns	1	masc	comp						guardian of the Buddha's Teaching; protector of the Message of the Buddha					sāsana + ārakkha	śāsana + ārakṣa					VINa 1.2.3	tatiyasaṅgītikathā	<b>sāsanaṃ</b> anu<b>rakkha</b>nto, jambudīpe patiṭṭhito.				APAa 3.6	sukkātherīgāthāvaṇṇanā	tathā sikhissa bhagavato, vessabhussa bhagavato kāleti evaṃ tiṇṇaṃ sammāsambuddhānaṃ <b>sāsane</b> sīlaṃ <b>rakkhitvā</b> bahussutā dhammadharā ahosi						<b>Sāsan'ārakkha</b> Buddhist Sanctuary			SBS	00n	sāsanarakkh	a masc	83			[sound:sāsanarakkha.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=sāsanarakkha&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
viveka 1	ss	1	masc		viviccati					seclusion; solitude; detachment; disengagement			√vic 1 a (to separate)		vi + √vic > vek + a	viveka	√vic		(ANa) viveko'ti kāyacittaupadhiviveko		DN 22.18	mahāsatipaṭṭhānasuttaṃ	bhikkhu vivicc’eva kāmehi vivicca akusalehi dhammehi, savitakkaṃ savicāraṃ <b>viveka</b>-jaṃ pītisukhaṃ paṭhamaṃ jhānaṃ upasampajja viharati	Ariy’aṭṭhaṅgika-magga	The Noble Eightfold Path	Teachings	TH 257	pārāpariyattheragāthā	araññe rukkhamūlesu, kandarāsu guhāsu ca.<br/><b>vivekam</b>’anubrūhantā, vihaṃsu tap’parāyanā	Pārāpariya-thera-gāthā	From the Elder Pārāpariya	Verses							13n	vivek	a masc	83	2	354	[sound:viveka.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=viveka 1&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
vimutti	ss	1	fem		vimuñcati					release; deliverance; freedom; liberation			√muc 2 ṃa (to release, free)		vi + √muc + ti	vimukti	√muc				SN 56.11	dhammacakkappavattanasuttaṃ	ñāṇañ’ca pana me dassanaṃ udapādi — ‘akuppā me <b>vimutti</b>, ayam’antimā jāti, n’atthi-dāni punabbhavo’ti.	Dhamma-cakkappavattana	Setting in Motion The Wheel of Dhamma	Teachings	SN 46.3	sīlasuttaṃ	ye te, bhikkhave, bhikkhū sīlasampannā samādhisampannā ñāṇasampannā <b>vimutti</b>-sampannā <b>vimutti</b>-ñāṇadassana-sampannā, 	Satta-sambojjhaṅgā	The Seven Factors of Awakening	Teachings							17n	vimutt	i fem	83	8	131	[sound:vimutti.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=vimutti&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
vipāka 1	pp	1	masc		vipaccati					result; consequence; lit. ripening			√pac 1 a (to mature, ripen)		vi + √pac > pak + *a	vipāka	√pṛc				MN 20	vitakkasaṇṭhānasuttaṃ	bhikkhunā tesaṃ vitakkānaṃ ādīnavo upaparikkhitabbo — ‘iti’pi’me vitakkā akusalā, iti’pi’me vitakkā sāvajjā, iti’pi’me vitakkā dukkha-<b>vipākā</b>’ti.				MN 137	saḷāyatanavibhaṅgasuttaṃ	cakkhunā rūpaṃ disvā uppajjati upekkhā bālassa mūḷhassa puthujjanassa anodhijinassa a-<b>vipāka</b>-jinassa anādīnavadassāvino assutavato puthujjanassa.											vipāk	a masc	83	2	388	[sound:vipāka.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=vipāka 1&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
vipassanā	p	1	fem	abstr	vipassati					insight; penetrating internal vision; introspection; lit. distinct seeing			√dis 1 a (to see)	√dis + a > passa (irreg)	vi + passa + anā	vipaśyanā	√dṛś				AN 4.147	dutiyakālasuttaṃ	kālena dhammassavanaṃ, kālena dhammasākacchā, kālena sammasanā, kālena <b>vipassanā</b> — ime kho, bhikkhave, cattāro kālā sammā bhāviyamānā sammā anuparivattiyamānā anupubbena āsavānaṃ khayaṃ pāpenti.																	vipassan	ā fem	83	7	59	[sound:vipassanā.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=vipassanā&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
vitakka	ps	1	masc		vitakketi					thought; reflection; pondering			√takk 8 *e (to think)		vi + √takk + a	vitarka	√tark				MN 20	vitakkasaṇṭhānasuttaṃ	tesaṃ <b>vitakkānaṃ</b> <b>vitakka</b>-saṅkhāra-saṇṭhānaṃ manasikaroto ye pāpakā akusalā <b>vitakkā</b> chand’ūpasaṃhitā’pi dos’ūpasaṃhitā’pi moh’ūpasaṃhitā’pi te pahīyanti				DN 22.18	mahāsatipaṭṭhānasuttaṃ	<b>vitakka</b>-vicārānaṃ vūpasamā ajjhattaṃ sampasādanaṃ cetaso ekodibhāvaṃ avitakkaṃ avicāraṃ samādhijaṃ pītisukhaṃ dutiyaṃ jhānaṃ upasampajja viharati.	Ariy’aṭṭhaṅgika-magga	The Noble Eightfold Path	Teachings							21n	vitakk	a masc	83	2	171	[sound:vitakka.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=vitakka&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
vijjā	ss	1	fem							knowledge; wisdom; understanding			√vid 3 ya (to know, understand)		√vid + yā	vidyā	√vid				SN 11.3	dhajaggasuttaṃ	arahaṃ sammāsambuddho <b>vijjā</b>-caraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṃ buddho bhagavā	Buddh’ābhitthuti	Homage to the Buddha	Homage to the Triple Gem	SNP 22	uṭṭhānasuttaṃ<br/>cūḷavaggo 10	pamādo rajo pamādo, pamād’ānupatito rajo, <br/>appamādena <b>vijjāya</b>, abbahe sallam’attano’ti.	Pakiṇṇaka-gāthā	Miscellaneous Verses	Verses							02n	vijj	ā fem	83	7	338	[sound:vijjā.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=vijjā&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
