Pāli1	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Pāli Root	Base	Construction	Sanskrit	Sk Root	Source1	Sutta1	Example1	Source 2	Sutta2	Example 2	Stem	Pattern	count	Feedback	Tag	marks
abhijānāti	pr					trans	+acc	clearly remembers; accurately recalls; lit. completely knows		√ñā 5 nā (to know)	√ñā + nā > jānā	abhi + jānā + ti	abhijānāti	√jñā	MN 26	pāsarāsisuttaṃ	evaṃ vutte, ahaṃ, bhikkhave, pañcavaggiye bhikkhū etad'avocaṃ, <b>abhijānātha</b> me no tumhe, bhikkhave, ito pubbe evarūpaṃ pabhāvitam'etan'ti?				abhijān	āti pr	106.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=abhijānāti&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	āti-pr	
abhinandati	pr					trans	+acc	delights (in); is pleased (with); approves (of); is happy (with); finds pleasure (in); relishes		√nand 1 a (to delight, enjoy)	√nand + a > nanda	abhi + nanda + ti	abhinandati	√nand	SN 22.79	khajjanīyasuttaṃ	ahañ'c'eva kho pana anāgataṃ rūpaṃ <b>abhinandeyyaṃ</b>, anāgatam'p'āhaṃ addhānaṃ evam'eva rūpena khajjeyyaṃ, seyyathā'pi eta'r'ahi paccuppannena rūpena khajjāmī'ti				abhinand	ati pr	128.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=abhinandati&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	ati-pr	
abhinandati	pr					trans	+acc	(comm) wishes (for); longs (for); desires; looks forward (to)		√nand 1 a (to delight, enjoy)	√nand + a > nanda	abhi + nanda + ti	abhinandati	√nand	SN 1.43	annasuttaṃ	annam'eva-<b>abhinandanti</b>,<br/>ubhaye devamānusā,<br/>atha ko nāma so yakkho,<br/>yaṃ annaṃ n'ābhinandatī'ti.				abhinand	ati pr	128.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=abhinandati&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	ati-pr	
abhivaḍḍhati	pr					intrans		increases more and more; surpasses; outgrows		√vaḍḍh 1 a (to grow, increase)	√vaḍḍh + a > vaḍḍha	abhi + vaḍḍha + ti	abhivṛdh	√vṛdh	DN 9.7	poṭṭhapādasuttaṃ, tayo attapaṭilābhā	oḷārikassa'pi kho ahaṃ, poṭṭhapāda, attapaṭilābhassa pahānāya dhammaṃ desemi, yathāpaṭipannānaṃ vo saṃkilesikā dhammā pahīyissanti, vodāniyā dhammā <b>abhivaḍḍhissanti</b>				abhivaḍḍh	ati pr	192.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=abhivaḍḍhati&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	ati-pr	
abhivadati	pr					trans	+acc	welcomes; is hospitable (to)		√vad 1 a (to say, speak)	√vad + a > vada	abhi + vada + ti	abhivadati	√vad	MN 145	puṇṇovādasuttaṃ	taṃ ce bhikkhu abhinandati <b>abhivadati</b> ajjhosāya tiṭṭhati				abhivad	ati pr	121.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=abhivadati&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	ati-pr	
abhivadati	pr					trans	+acc	proclaims; preaches; declares; announces		√vad 1 a (to say, speak)	√vad + a > vada	abhi + vada + ti	abhivadati	√vad	AN 7.6	vitthatadhanasuttaṃ	ye te dhammā ādikalyāṇā majjhekalyāṇā pariyosānakalyāṇā sātthaṃ sabyañjanaṃ, kevalaparipuṇṇaṃ parisuddhaṃ brahmacariyaṃ <b>abhivadanti</b>				abhivad	ati pr	121.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=abhivadati&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	ati-pr	
abhivadati	pr					trans	+acc			√vad 1 a (to say, speak)	√vad + a > vada	abhi + vada + ti	abhivadati	√vad							abhivad	ati pr	121.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=abhivadati&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	ati-pr	
arahati	pr					trans	+acc	is worthy (of); deserves; merits		√arah 1 a (to deserve, be worthy)	√arah + a > araha	araha + ti	arhati	√arh	DHP 9	yamakavaggo	anikkasāvo kāsāvaṃ,<br/>yo vatthaṃ paridahissati,<br/>apeto damasaccena,<br/>na so kāsāvam'<b>arahati</b>.				arah	ati pr	149.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=arahati&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	ati-pr	
arahati	pr					intrans	+dat or +inf	is worthy (to); is fit (to); is capable (of)		√arah 1 a (to deserve, be worthy)	√arah + a > araha	araha + ti	arhati	√arh	MN 137	saḷāyatanavibhaṅgasuttaṃ	tatra idaṃ nissāya idaṃ pajahatha, tayo satipaṭṭhānā yad'ariyo sevati yad'ariyo sevamāno satthā gaṇam'anusāsitum'<b>arahati</b>, so vuccati yogg'ācariyānaṃ anuttaro purisadammasārathī'ti, ayam'uddeso saḷ'āyatanavibhaṅgassa.				arah	ati pr	149.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=arahati&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	ati-pr	
arahati	pr					intrans	+dat or +inf	should; ought (to); is suitable (for); it is befitting (for)		√arah 1 a (to deserve, be worthy)	√arah + a > araha	araha + ti	arhati	√arh	DN 5.2	kūṭadantasuttaṃ	na <b>arahati</b> bhavaṃ kūṭadanto samaṇaṃ gotamaṃ dassanāya upasaṅkamituṃ. samaṇo tv'eva gotamo <b>arahati</b> bhavantaṃ kūṭadantaṃ dassanāya upasaṅkamituṃ				arah	ati pr	149.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=arahati&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	ati-pr	
arahati	pr									√arah 1 a (to deserve, be worthy)	√arah + a > araha			√arh							arah	ati pr	149.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=arahati&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	ati-pr	
assasati	pr					intrans		inhales; breathes in		√sas 1 a (to breath)	√sas + a > sasa	ā + sasa + ti	āśvas	√śvas	DN 22.2	mahāsatipaṭṭhānasuttaṃ	so sato'va <b>assasati</b> sato'va passasati				assas	ati pr	180.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=assasati&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	ati-pr	
ākaṅkhati	pr					trans	+acc	wishes (for); wants; desires; aspires (for)		√kaṅkh 1 a (to wish for)	√kaṅkh + a > kaṅkha	ā + kaṅkha + ti	ākāṅkṣati	√kāṅkṣ	SNP 32	sabhiyasuttaṃ	yo kho, sabhiya, aññatitthiyapubbo imasmiṃ dhammavinaye <b>ākaṅkhati</b> pabbajjaṃ, <b>ākaṅkhati</b> upasampadaṃ, so cattāro māse parivasati.				ākaṅkh	ati pr	291.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ākaṅkhati&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	ati-pr	
āgacchati	pr					trans	+acc	comes (to); arrives (at)		√gam 1 a (to go)	√gam + a > gaccha (irreg)	ā + gaccha + ti	āgacchati	√gam	AN 3.66	kesamuttisuttaṃ	santi, bhante, eke samaṇabrāhmaṇā kesamuttaṃ <b>āgacchanti</b>. te sakaṃ'y'eva vādaṃ dīpenti jotenti, parappavādaṃ pana khuṃsenti vambhenti paribhavanti omakkhiṃ karonti.				āgacch	ati pr	613.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=āgacchati&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	ati-pr	
āgacchati	pr					trans	+acc	comes along; approaches		√gam 1 a (to go)	√gam + a > gaccha (irreg)	ā + gaccha + ti	āgacchati	√gam	SN 12.63	puttamaṃsūpamasuttaṃ	atha puriso <b>āgaccheyya</b> jīvitu'kāmo amaritu'kāmo sukhakāmo dukkhappaṭikūlo				āgacch	ati pr	613.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=āgacchati&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	ati-pr	
āgacchati	pr					trans	+acc	comes back (to); returns (to)		√gam 1 a (to go)	√gam + a > gaccha (irreg)	ā + gaccha + ti	āgacchati	√gam	SN 12.63	puttamaṃsūpamasuttaṃ	pañcakāmaguṇike rāge pariññāte n'atthi taṃ saṃyojanaṃ yena saṃyojanena saṃyutto ariyasāvako puna imaṃ lokaṃ <b>āgaccheyya</b>				āgacch	ati pr	613.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=āgacchati&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	ati-pr	
āgacchati	pr					trans	+acc	comes out; flows out		√gam 1 a (to go)	√gam + a > gaccha (irreg)	ā + gaccha + ti	āgacchati	√gam	AN 5.28	paṭhamadhammavihārīsuttaṃ	seyyathā'pi, bhikkhave, same bhūmibhāge pokkharaṇī caturaṃsā ālibaddhā pūrā udakassa samatittikā kākapeyyā. tam'enaṃ balavā puriso yato yato āliṃ muñceyya, <b>āgaccheyya</b> udakan'ti? evaṃ, bhante.				āgacch	ati pr	613.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=āgacchati&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	ati-pr	
āgacchati	pr					trans	+acc	happens (to); befalls; occurs (to); lit. arrives		√gam 1 a (to go)	√gam + a > gaccha (irreg)	ā + gaccha + ti	āgacchati	√gam	AN 7.64	kodhanasuttaṃ	satt'ime, bhikkhave, dhammā sapattakantā sapattakaraṇā kodhanaṃ <b>āgacchanti</b> itthiṃ vā purisaṃ vā. katame satta?				āgacch	ati pr	613.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=āgacchati&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	ati-pr	
āgameti	pr					trans	+acc	waits (until); waits (for); (comm) expects		√āgam 8 *e (to wait)	√āgam + e > āgame	āgame + ti	āgamayate	√gam	UD 45	uposathasuttaṃ	acchariyaṃ, moggallāna, abbhutaṃ, moggallāna! yāva bāhāgahaṇā'pi nāma so moghapuriso <b>āgamessatī</b>'ti				āgam	eti pr	120.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=āgameti&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	eti-pr	
āgameti	pr					trans	+acc			√āgam 8 *e (to wait)	√āgam + e > āgame	āgame + ti	āgamayate	√gam							āgam	eti pr	120.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=āgameti&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	eti-pr	
ācikkhati	pr					trans	+acc	informs; tells; talks about		√cikkh 1 a (to show, tell)	√cikkh + a > cikkha	ā + cikkha + ti	ākhyāti	√khyā √cakṣ	VIN 2.5.4.4	kāṇamātusikkhāpadaṃ	amutra mayā dvattipattapūrā paṭiggahitā, mā kho tattha paṭiggaṇhī'ti. sace passitvā na <b>ācikkhati</b>, āpatti dukkaṭassa. sace ācikkhite paṭiggaṇhāti, āpatti dukkaṭassa.				ācikkh	ati pr	216.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ācikkhati&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	ati-pr	
ācikkhati	pr					trans	+acc	describes; points out; shows		√cikkh 1 a (to show, tell)	√cikkh + a > cikkha	ā + cikkha + ti	ākhyāti	√khyā √cakṣ	DN 31.13	siṅgālasuttaṃ	pāpā nivāreti kalyāṇe niveseti assutaṃ sāveti saggassa maggaṃ <b>ācikkhati</b>				ācikkh	ati pr	216.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ācikkhati&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	ati-pr	
ājānāti	pr					trans	+acc	knows; understands		√ñā 5 nā (to know)	√ñā + nā > jānā	ā + jānā + ti	ājānāti	√jñā	SN 22.35	aññatarabhikkhusuttaṃ	yathākathaṃ pana tvaṃ bhikkhu mayā saṃkhittena bhāsitassa vitthārena atthaṃ <b>ājānāsī</b>'ti				ājān	āti pr	282.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ājānāti&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	āti-pr	
ājānāti	pr					trans	+acc	finds out; learns		√ñā 5 nā (to know)	√ñā + nā > jānā	ā + jānā + ti	ājānāti	√jñā	SN 46.53	aggisuttaṃ	atha kho te bhikkhū tesaṃ aññatitthiyānaṃ paribbājakānaṃ bhāsitaṃ n'eva abhinandiṃsu nappaṭikkosiṃsu, anabhinanditvā appaṭikkositvā uṭṭhāy'āsanā pakkamiṃsu, bhagavato santike etassa bhāsitassa atthaṃ <b>ājānissāmā</b>'ti.				ājān	āti pr	282.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ājānāti&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	āti-pr	
ājānāti	pr									√ñā 5 nā (to know)	√ñā + nā > jānā			√jñā							ājān	āti pr	282.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ājānāti&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	āti-pr	
āpajjati	pr					trans	+acc	experiences; gets (pleasure); suffers (pain)		√pad 3 ya (to go, step)	√pad + ya > pajja	ā + pajja + ti	āpadyate	√pad	MN 39	mahāassapurasuttaṃ	tāvataken'eva tuṭṭhiṃ <b>āpajjeyyātha</b>				āpajj	ati pr	575.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=āpajjati&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	ati-pr	
āpajjati	pr					trans	+acc	arouses; exhibits; produces; brings into being		√pad 3 ya (to go, step)	√pad + ya > pajja	ā + pajja + ti	āpadyate	√pad	SN 46.3	sīlasuttaṃ	so tathā sato viharanto taṃ dhammaṃ paññāya pavicinati pavicarati parivīmaṃsam'<b>āpajjati</b>.				āpajj	ati pr	575.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=āpajjati&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	ati-pr	
āpajjati	pr					trans	+acc	engages in		√pad 3 ya (to go, step)	√pad + ya > pajja	ā + pajja + ti	āpadyate	√pad	VIN PAT PC 79	kammappaṭibāhanasikkhāpadaṃ	yo pana bhikkhu dhammikānaṃ kammānaṃ chandaṃ datvā pacchā khīyanadhammaṃ <b>āpajjeyya</b>, pācittiyaṃ.				āpajj	ati pr	575.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=āpajjati&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	ati-pr	
āpajjati	pr					trans	+acc	(of an offence) commits; falls into		√pad 3 ya (to go, step)	√pad + ya > pajja	ā + pajja + ti	āpadyate	√pad	MN 105	sunakkhattasuttaṃ	maraṇañ'h'etaṃ, sunakkhatta, ariyassa vinaye yo sikkhaṃ paccakkhāya hīnāy'āvattati, maraṇamattañ'h'etaṃ, sunakkhatta, dukkhaṃ yaṃ aññataraṃ saṃkiliṭṭhaṃ āpattiṃ <b>āpajjati</b>.				āpajj	ati pr	575.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=āpajjati&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."	ati-pr	
