headword	pos	root	pattern	count	found
sahampati	masc		i masc	68.0	{'sahampati': 60, 'sahampatissa': 4, 'sahampatiṃ': 3, 'sahampatinā': 1}
pāyāsi	masc		i masc	67.0	{'pāyāsi': 57, 'pāyāsissa': 5, 'pāyāsiṃ': 5}
dānapati	masc		i masc	67.0	{'dānapati': 49, 'dānapatī': 13, 'dānapatiṃ': 3, 'dānapatino': 2}
ādi	masc		i masc	64.0	{'ādissa': 30, 'ādayo': 10, 'ādiṃ': 9, 'ādi': 5, 'ādito': 3, 'ādinā': 2, 'ādīhi': 2, 'ādīsu': 2, 'ādīnaṃ': 1}
pajāpati	masc		i masc	64.0	{'pajāpatiṃ': 30, 'pajāpati': 23, 'pajāpatissa': 5, 'pajāpatito': 3, 'pajāpatī': 2, 'pajāpatismiṃ': 1}
mātukucchi	masc		i masc	63.0	{'mātukucchiṃ': 28, 'mātukucchimhā': 21, 'mātukucchismiṃ': 12, 'mātukucchismā': 2}
pokkharasāti	masc		i masc	62.0	{'pokkharasāti': 33, 'pokkharasātissa': 19, 'pokkharasātiṃ': 4, 'pokkharasātinā': 5, 'pokkharasātī': 1}
ānāpānassatisamādhi	masc		i masc	59.0	{'ānāpānassatisamādhi': 48, 'ānāpānassatisamādhiṃ': 5, 'ānāpānassatisamādhimhi': 3, 'ānāpānassatisamādhinā': 2, 'ānāpānassatisamādhissa': 1}
sāli	masc		i masc	54.0	{'sālīnaṃ': 20, 'sāliṃ': 18, 'sāli': 7, 'sālī': 4, 'sālino': 3, 'sālayo': 2}
piti	masc		i masc	52.0	{'pitito': 52}
subhūti	masc	√bhū 1 (be)	i masc	51.0	{'subhūti': 48, 'subhūtiṃ': 2, 'subhūtinā': 1}
jāṇussoṇi	masc		i masc	48.0	{'jāṇussoṇi': 40, 'jāṇussoṇiṃ': 7, 'jāṇussoṇī': 1}
byādhi	masc	√dhā 1 (place, support)	i masc	47.0	{'byādhiṃ': 14, 'byādhi': 15, 'byādhito': 8, 'byādhinā': 6, 'byādhayo': 3, 'byādhī': 1}
acci	masc	√acc 1 (shine, praise)	i masc	47.0	{'accayo': 28, 'acci': 14, 'acciṃ': 3, 'accī': 1, 'accito': 1}
sakkhi	masc	√akkh 1 (see)	i masc	45.0	{'sakkhi': 22, 'sakkhiṃ': 12, 'sakkhī': 9, 'sakkhimhā': 2}
disampati	masc		i masc	45.0	{'disampati': 35, 'disampatissa': 4, 'disampatimhi': 4, 'disampatiṃ': 1, 'disampatinā': 1}
vepacitti	masc		i masc	45.0	{'vepacitti': 30, 'vepacittiṃ': 8, 'vepacittinā': 3, 'vepacittino': 2, 'vepacittissa': 2}
ahi	masc		i masc	41.0	{'ahi': 22, 'ahiṃ': 9, 'ahinā': 6, 'ahīnaṃ': 3, 'ahito': 1}
nimmānarati	masc		i masc	39.0	{'nimmānaratīnaṃ': 14, 'nimmānaratī': 13, 'nimmānaratino': 11, 'nimmānaratīhi': 1}
