Pāli1	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Pāli Root	Base	Construction	Sanskrit	Sk Root	Source1	Sutta1	Example1	Source 2	Sutta2	Example 2	Stem	Pattern	count	Feedback	Tag	marks
kuto	ind	adv, abl sg, interr	ka					how?; in what way?				ka > ku + to	kutas		SN 35.93	dutiyadvayasuttaṃ	yo'pi hetu yo'pi paccayo cakkhuviññāṇassa uppādāya, so'pi hetu so'pi paccayo anicco vipariṇāmī aññathābhāvī. aniccaṃ kho pana, bhikkhave, paccayaṃ paṭicca uppannaṃ cakkhuviññāṇaṃ <b>kuto</b> niccaṃ bhavissati!				-		245.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kuto&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
kuto	ind	abl sg	ka					let alone; not to mention; what to say of; lit. from where				ka > ku + to	kutas		DHP 212	piyavaggo	piyato jāyatī soko,<br/>piyato jāyatī bhayaṃ,<br/>piyato vippamuttassa,<br/>n'atthi soko <b>kuto</b> bhayaṃ.				-		245.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kuto&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
kuhiṃ	ind	adv, interr	ka					where?				ka > ku + hiṃ	kuha		SN 4.23	godhikasuttaṃ	uddhaṃ adho ca tiriyaṃ,<br/>disā anudisā sv'ahaṃ,<br/>anvesaṃ n'ādhigacchāmi,<br/>godhiko so <b>kuhiṃ</b> gato'ti.				-		38.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kuhiṃ&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
tato	ind	adv, abl sg	ta					from there; from that; from then				ta + to	tatas		DHP 1	yamakavaggo	manopubbaṅ'gamā dhammā,<br/>manoseṭṭhā manomayā,<br/>manasā ce paduṭṭhena,<br/>bhāsati vā karoti vā,<br/><b>tato</b> naṃ dukkham'anveti,<br/>cakkaṃva vahato padaṃ.				-		836.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=tato&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
tato	ind	abl sg	ta					therefore; thereupon; thereby; because of that; after that; lit. from that				ta + to	tatas		UD 10	bāhiyasuttaṃ	<b>tato</b> tvaṃ bāhiya na tena. yato tvaṃ bāhiya na tena, <b>tato</b> tvaṃ bāhiya na tattha. yato tvaṃ bāhiya na tattha, <b>tato</b> tvaṃ bāhiya n'ev'idha na huraṃ na ubhayam'antarena				-		836.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=tato&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
tato	ind	abl sg	ta					(gram) after that; lit. from that				ta + to	tatas		kaccāyana	ākhyātakappa 467	467, 533. <b>tato</b> pā mānānaṃ vā maṃ sesu.				-		836.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=tato&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
tato	ind	abl sg	ta					after that; then; next; lit. from that				ta + to	tatas		ITI 38	vitakkasuttaṃ	tathāgataṃ buddham'asayhasāhinaṃ,<br/>duve vitakkā samudācaranti naṃ,<br/>khemo vitakko paṭhamo udīrito,<br/><b>tato</b> viveko dutiyo pakāsito.				-		836.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=tato&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
tattha	ind	adv	ta					there; in that place				ta + ttha	tatra		DN 4.6	soṇadaṇḍasuttaṃ	yattha sīlaṃ <b>tattha</b> paññā yattha paññā <b>tattha</b> sīlaṃ				-		2295.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=tattha&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
tattha	ind	adv	ta					in that regard; in that case; regarding that matter				ta + ttha	tatra		MN 64	mahāmālukyasuttaṃ	so yad'eva <b>tattha</b> hoti rūpagataṃ vedanāgataṃ saññāgataṃ saṅkhāragataṃ viññāṇagataṃ te dhamme aniccato dukkhato rogato gaṇḍato sallato aghato ābādhato parato palokato suññato anattato samanupassati				-		2295.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=tattha&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
tatra	ind	adv	ta					there; in that place				ta + tra	tatra		MN 9	sammādiṭṭhisuttaṃ	<b>tatra</b> kho āyasmā sāriputto bhikkhū āmantesi				-		1487.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=tatra&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
tatra	ind	adv	ta					in that case; in that regard; in this matter; in this connection				ta + tra	tatra		SN 11.24	accayasuttaṃ	tena kho pana samayena dve bhikkhū sampayojesuṃ, <b>tatra</b>-eko bhikkhu accasarā, atha kho so bhikkhu tassa bhikkhuno santike accayaṃ accayato deseti, so bhikkhu nappaṭiggaṇhāti.				-		1487.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=tatra&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
tahiṃ	ind	adv	ta					there; in that place				ta + hiṃ	tahi, tahiṃ (bsk)		TH 262	tālapuṭattheragāthā	varāhaeṇeyyavigāḷhasevite,<br/>pabbhārakuṭṭe pakat'eva sundare,<br/>nav'ambunā pāvusasitthakānane,<br/><b>tahiṃ</b> guhāgehagato ramissasi.				-		17.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=tahiṃ&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
parito	ind	adv, abl sg	pari					all around; everywhere; lit. from all around				pari + to	paritas		DN 18.1	janavasabhasuttaṃ	tena kho pana samayena bhagavā <b>parito</b> <b>parito</b> janapadesu paricārake abbhatīte kālaṅ'kate upapattīsu byākaroti				-		11.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=parito&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
purato	ind	prep, abl sg	pura				+gen	in front (of)				pura + to	puratas		AN 5.162	dutiyāaghātapaṭivinayasuttaṃ	seyyathāpi, āvuso, puriso ābādhiko dukkhito bāḷhagilāno addhānamaggappaṭipanno. tassa <b>purato</b>'pi'ssa dūre gāmo pacchato'pi'ssa dūre gāmo.				-		137.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=purato&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
yato	ind	adv, abl sg	ya					from where; from which; wherever				ya + to	yatas		AN 5.28	paṭhamadhammavihārīsuttaṃ	seyyathā'pi, bhikkhave, udakamaṇiko ādhāre ṭhapito pūro udakassa samatittiko kākapeyyo. tam'enaṃ balavā puriso <b>yato yato</b> āvajjeyya, āgaccheyya udakan'ti? evaṃ, bhante.				-		588.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=yato&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
yato	ind	adv, abl sg	ya					since; because; lit. from which				ya + to	yatas		MN 9	sammādiṭṭhisuttaṃ	<b>yato</b> kho, āvuso, ariyasāvako akusalañ'ca pajānāti akusalamūlañ'ca pajānāti kusalañ'ca pajānāti kusalamūlañ'ca pajānāti ettāvatā'pi kho āvuso ariyasāvako sammādiṭṭhi hoti				-		588.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=yato&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
yato	ind	adv, abl sg	ya					when; from when; since				ya + to	yatas		MN 130	devadūtasuttaṃ	<b>yato</b> ca kho so, bhikkhave, bahusampatto hoti, atha taṃ dvāraṃ pidhīyati.				-		588.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=yato&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
yattha	ind	adv	ya					wherever; where; when; in which				ya + ttha	yatra		DHP 87	paṇḍitavaggo	kaṇhaṃ dhammaṃ vippahāya,<br/>sukkaṃ bhāvetha paṇḍito,<br/>okā anokam'āgamma,<br/>viveke <b>yattha</b> dūramaṃ.				-		717.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=yattha&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
yahiṃ	ind	adv	ya					where; wherever				ya + hiṃ	yatra		MN 59	bahuvedanīyasuttaṃ	na kho, āvuso, bhagavā sukhaṃ'y'eva vedanaṃ sandhāya sukhasmiṃ paññapeti, api ca, āvuso, yattha yattha sukhaṃ upalabbhati <b>yahiṃ</b> <b>yahiṃ</b> taṃ taṃ tathāgato sukhasmiṃ paññapetī'ti.				-		16.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=yahiṃ&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
sabbattha	ind	adv	sabba					everywhere; every place				sabba + ttha	sarvatra		DHP 193	buddhavaggo	dullabho puris'ājañño,<br/>na so <b>sabbattha</b> jāyati,<br/>yattha so jāyati dhīro,<br/>taṃ kulaṃ sukham'edhati.				-		242.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sabbattha&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
sabbattha	ind	adv	sabba					in every way; in every respect; entirely				sabba + ttha	sarvatra		THI 71	subhājīvakambavanikātherīgāthā	āvilacitto anāvilaṃ,<br/>sarajo vītarajaṃ anaṅgaṇaṃ,<br/><b>sabbattha</b> vimuttamānasaṃ,<br/>kiṃ maṃ ovariyāna tiṭṭhasi.				-		242.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sabbattha&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
sabbattha	ind	adv	sabba					(gram) in all cases; in all instances				sabba + ttha	sarvatra		kaccāyana	ākhyātakappa 506	506, 496. <b>sabbatth</b>'āsass'ādilopo ca.				-		242.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sabbattha&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
samantato	ind	adv, abl sg	samanta					all around; on all sides; everywhere; lit. from all sides				saṃ + anta + to<br/>samanta + to	samantatas		DN 9.4	poṭṭhapādasuttaṃ, saññāattakathā	atha kho te paribbājakā acirapakkantassa bhagavato poṭṭhapādaṃ paribbājakaṃ <b>samantato</b> vācāsannitodakena sañjhabbharim'akaṃsu				-		29.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=samantato&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
