4 words	count
buddha bhagavā sāvatthī viharati	288
buddho bhagavā sāvatthiyaṃ viharati	288
samayena buddho bhagavā sāvatthiyaṃ	288
hoti tathāgata paraṃ maraṇāti	283
hoti tathāgato paraṃ maraṇāti	283
pe evañca pana bhikkhave	281
pe evañca pana bhikkhave	281
appasanna vā pasāda pe	276
appasannānaṃ vā pasādāya pe	276
apāyaṃ duggati vinipāta niraya	269
apāyaṃ duggatiṃ vinipātaṃ nirayaṃ	269
bhagavāti vigarahi buddha bhagavā	268
bhagavāti vigarahi buddho bhagavā	268
saccaṃ bhagavāti vigarahi buddha	265
saccaṃ bhagavāti vigarahi buddho	265
samaṇā vā brāhmaṇā vā	264
na hoti tathāgata paraṃ	261
na hoti tathāgato paraṃ	261
maraṇa apāyaṃ duggati vinipāta	260
paraṃ maraṇa apāyaṃ duggati	260
bheda paraṃ maraṇa apāyaṃ	260
samaya bhagavā sāvatthī viharati	260
paraṃ maraṇā apāyaṃ duggatiṃ	260
bhedā paraṃ maraṇā apāyaṃ	260
maraṇā apāyaṃ duggatiṃ vinipātaṃ	260
samayaṃ bhagavā sāvatthiyaṃ viharati	259
eka samaya bhagavā sāvatthī	258
vigarahi buddha bhagavā pe	257
vigarahi buddho bhagavā pe	257
ekaṃ samayaṃ bhagavā sāvatthiyaṃ	257
buddha bhagavā pe kathañhi	256
bhagavā pe kathañhi nāma	256
bhagavā pe kathañhi nāma	256
buddho bhagavā pe kathañhi	256
vā pasāda pe evañca	255
pasāda pe evañca pana	255
vā pasādāya pe evañca	255
pasādāya pe evañca pana	255
saddhiṃ sammodi sammodanīya kathaṃ	253
viharati ātāpī sampajāna satimant	252
evaṃ kho bhikkhave bhikkhu	251
sammodi sammodanīya kathaṃ sāraṇīya	251
evaṃ kho bhikkhave bhikkhu	251
sampajāna satimant vineyya loka	249
ātāpī sampajāna satimant vineyya	248
sammodanīya kathaṃ sāraṇīya vītisāretvā	246
sammodanīyaṃ kathaṃ sāraṇīyaṃ vītisāretvā	246
sampajāno satimā vineyya loke	245
ātāpī sampajāno satimā vineyya	244
satimant vineyya loka abhijjhādomanassa	243
tassa kukkucca ahosi pe	241
tassa kukkuccaṃ ahosi pe	241
kathaṃ sāraṇīya vītisāretvā ekamantaṃ	240
kathaṃ sāraṇīyaṃ vītisāretvā ekamantaṃ	240
satimā vineyya loke abhijjhādomanassaṃ	239
bhagavato paccassosi bhagavā etadavoca	236
vā anicca vāti anicca	227
sāraṇīya vītisāretvā ekamantaṃ nisīdi	226
ekamantaṃ nisinna kho āyasmā	225
ekamantaṃ nisinno kho āyasmā	225
anicca vāti anicca bhante	221
kho pana samayena aññataro	221
evañca pana bhikkhave imaṃ	214
pana bhikkhave imaṃ sikkhāpada	214
bhikkhave imaṃ sikkhāpada uddisati	214
bhikkhave imaṃ sikkhāpadaṃ uddiseyyātha	214
evañca pana bhikkhave imaṃ	214
pana bhikkhave imaṃ sikkhāpadaṃ	214
kho bhagavā bhikkhū āmantesi	210
kho bhagavā bhikkhū āmantesi	210
ayaṃ imasmiṃ attha adhippeta	209
pe ayaṃ imasmiṃ attha	206
pe ayaṃ imasmiṃ atthe	206
vītisāretvā ekamantaṃ nisīdi ekamantaṃ	202
viharati ātāpī sampajāno satimā	202
kata karaṇīya nāpara itthattāyāti	198
kataṃ karaṇīyaṃ nāparaṃ itthattāyāti	198
vusita brahmacariyaṃ kata karaṇīya	197
brahmacariyaṃ kata karaṇīya nāpara	197
khīṇa jāti vusita brahmacariyaṃ	197
vusitaṃ brahmacariyaṃ kataṃ karaṇīyaṃ	197
khīṇā jāti vusitaṃ brahmacariyaṃ	197
brahmacariyaṃ kataṃ karaṇīyaṃ nāparaṃ	197
jāti vusita brahmacariyaṃ kata	196
jāti vusitaṃ brahmacariyaṃ kataṃ	196
bhagavato paccassosuṃ bhagavā etadavoca	190
te bhikkhū bhagavato paccassosi	187
te bhikkhū bhagavato paccassosuṃ	187
saddhiṃ sammodi sammodanīyaṃ kathaṃ	186
puna caparaṃ bhikkhave bhikkhu	185
puna caparaṃ bhikkhave bhikkhu	185
sammodi sammodanīyaṃ kathaṃ sāraṇīyaṃ	185
pana samaya aññatara bhikkhu	183
bhikkhū bhagavato paccassosi bhagavā	183
bhikkhū bhagavato paccassosuṃ bhagavā	183
pana samayena aññataro bhikkhu	183
sugatiṃ sagga loka upapajjati	182
netaṃ mama nesohamasmi na	182
netaṃ mama nesohamasmi na	182
nesohamasmi na meso attāti	181
mama nesohamasmi na meso	181
nesohamasmi na meso attāti	181
mama nesohamasmi na meso	181
bhante yaṃ panāniccaṃ dukkhaṃ	180
bhante yaṃ panāniccaṃ dukkhaṃ	180
na na hoti tathāgata	177
neva hoti na na	177
hoti na na hoti	177
hoti na na hoti	177
na na hoti tathāgato	177
neva hoti na na	177
sukhaṃ vā dukkhaṃ vā	174
sukhaṃ vā dukkhaṃ vā	174
dukkhaṃ vā adukkhamasukha vā	173
vā dukkhaṃ vā adukkhamasukha	173
duggati vinipāta niraya upapajjati	173
vā dukkhaṃ vā adukkhamasukhaṃ	173
dukkhaṃ vā adukkhamasukhaṃ vā	173
cetovimutti paññāvimutti diṭṭheva dhamma	171
paññāvimutti diṭṭheva dhamma sayaṃ	171
khaya anāsava cetovimutti paññāvimutti	171
paññāvimuttiṃ diṭṭheva dhamme sayaṃ	171
cetovimuttiṃ paññāvimuttiṃ diṭṭheva dhamme	171
khayā anāsavaṃ cetovimuttiṃ paññāvimuttiṃ	171
anāsava cetovimutti paññāvimutti diṭṭheva	170
anāsavaṃ cetovimuttiṃ paññāvimuttiṃ diṭṭheva	170
kukkucca ahosi pe anāpatti	169
kukkuccaṃ ahosi pe anāpatti	169
sāraṇīyaṃ vītisāretvā ekamantaṃ nisīdi	166
kho bhikkhave pañca dhamma	165
ekamantaṃ nisīdi ekamantaṃ nisinnaṃ	164
nisīdi ekamantaṃ nisinnaṃ kho	164
iti kho panetaṃ vutta	162
iti kho panetaṃ vuttaṃ	162
vītisāretvā ekamantaṃ nisīdi ekamantaṃ	161
niccaṃ vā anicca vāti	160
niccaṃ vā aniccaṃ vāti	160
vā aniccaṃ vāti aniccaṃ	160
yena bhagavā tenupasaṅkamiṃsu upasaṅkamitvā	160
idha bhikkhave ekacca puggala	155
āsava khaya anāsava cetovimutti	154
āsavānaṃ khayā anāsavaṃ cetovimuttiṃ	154
aniccaṃ vāti aniccaṃ bhante	154
atha kho te bhikkhū	152
atha kho te bhikkhū	152
atha kho āyasmā ānanda	151
atha kho āyasmā ānando	151
netaṃ bhikkhave appasanna vā	149
bhikkhave appasanna vā pasāda	149
netaṃ bhikkhave appasannānaṃ vā	149
bhikkhave appasannānaṃ vā pasādāya	149
kho pana samaya āyasmā	147
kho pana samayena āyasmā	147
imehi kho bhikkhave pañca	145
imehi kho bhikkhave pañcahi	145
idha pana bhikkhave ekacca	144
te ujjhāyanti khiyyanti vipācenti	144
te ujjhāyanti khiyyanti vipācenti	144
tatra kho bhagavā bhikkhū	142
taṃ kiṃ maññati bhikkhave	142
dibba cakkhu visuddha atikkantamānusaka	142
taṃ kiṃ maññatha bhikkhave	142
tatra kho bhagavā bhikkhū	142
dibbena cakkhunā visuddhena atikkantamānusakena	142
pe saccaṃ kira bhikkhave	140
pe saccaṃ kira bhikkhave	140
vedayita sukhaṃ vā dukkhaṃ	139
ye te bhikkhū appiccha	139
uppajjati vedayita sukhaṃ vā	139
vedayitaṃ sukhaṃ vā dukkhaṃ	139
ye te bhikkhū appicchā	139
uppajjati vedayitaṃ sukhaṃ vā	139
ahosi pe anāpatti bhikkhu	138
abhiññā sacchikatvā upasampajja viharati	138
ahosi pe anāpatti bhikkhu	138
bhikkhave pañca dhamma samannāgata	135
kho bhikkhave pañcahi dhammehi	135
bhikkhunī imaṃ sikkhāpada uddisati	134
bhikkhave bhikkhunī imaṃ sikkhāpada	134
vivekanissita virāganissita nirodhanissita vossaggapariṇāmī	134
pana bhikkhave bhikkhunī imaṃ	134
bhāveti vivekanissita virāganissita nirodhanissita	134
evañca pana bhikkhave bhikkhunī	134
ime kho bhikkhave cattāro	134
kho pana samaya chabbaggiya	134
satthā devamanussā buddha bhagavāti	134
satthā devamanussānaṃ buddho bhagavāti	134
vivekanissitaṃ virāganissitaṃ nirodhanissitaṃ vossaggapariṇāmiṃ	134
ime kho bhikkhave cattāro	134
bhikkhuniyo imaṃ sikkhāpadaṃ uddisantu	134
pana bhikkhave bhikkhuniyo imaṃ	134
bhāveti vivekanissitaṃ virāganissitaṃ nirodhanissitaṃ	134
evañca pana bhikkhave bhikkhuniyo	134
bhikkhave bhikkhuniyo imaṃ sikkhāpadaṃ	134
kho pana samayena chabbaggiyā	133
iti yaṃ taṃ vutta	132
etamatthaṃ bhagavā avoca tatthetaṃ	132
etamatthaṃ bhagavā avoca tatthetaṃ	132
iti yaṃ taṃ vuttaṃ	132
bhikkhū appiccha pe te	131
bhikkhave samaṇa vā brāhmaṇa	131
te bhikkhū appiccha pe	131
hoti idha bhikkhave bhikkhu	131
idha bhikkhave ekacco puggalo	131
idha pana bhikkhave ekacco	131
bhikkhū appicchā pe te	131
te bhikkhū appicchā pe	131
hoti idha bhikkhave bhikkhu	131
appiccha pe te ujjhāyanti	130
bhagavatā saddhiṃ sammodi sammodanīya	130
netaṃ moghapurisa appasanna vā	130
pe te ujjhāyanti khiyyanti	130
attāti evametaṃ yathābhūtaṃ sammappaññāya	130
attāti evametaṃ yathābhūtaṃ sammappaññāya	130
pe te ujjhāyanti khiyyanti	130
appicchā pe te ujjhāyanti	130
etaṃ mama esohamasmi eso	129
moghapurisa appasanna vā pasāda	129
sikkhāpada uddisati yo pana	129
hetu ko paccaya yena	129
mama esohamasmi eso me	129
meso attāti evametaṃ yathābhūtaṃ	129
esohamasmi eso me attāti	129
imaṃ sikkhāpada uddisati yo	129
na meso attāti evametaṃ	129
etaṃ mama esohamasmi eso	129
na meso attāti evametaṃ	129
esohamasmi eso me attāti	129
meso attāti evametaṃ yathābhūtaṃ	129
mama esohamasmi eso me	129
sikkhāpadaṃ uddiseyyātha yo pana	129
imaṃ sikkhāpadaṃ uddiseyyātha yo	129
hetu ko paccayo yena	129
uddisati yo pana bhikkhu	128
puna caparaṃ āvuso bhikkhu	128
uddiseyyātha yo pana bhikkhu	128
puna caparaṃ āvuso bhikkhu	128
bhikkhave samaṇā vā brāhmaṇā	128
hoti imehi kho bhikkhave	127
hoti imehi kho bhikkhave	127
bhagavā tenupasaṅkamiṃsu upasaṅkamitvā bhagavantaṃ	127
appamatta ātāpī pahitatta viharanta	126
samaṇo vā brāhmaṇo vā	126
pe kathañhi nāma bhikkhave	124
catutthaṃ jhāna upasampajja viharati	124
ime kho bhikkhave pañca	124
ime kho bhikkhave pañca	124
pe kathañhi nāma bhikkhave	124
so kāya bheda paraṃ	123
imaṃ sikkhāpada uddisati yā	123
uddisati yā pana bhikkhunī	123
sikkhāpada uddisati yā pana	123
imaṃ sikkhāpadaṃ uddisantu yā	123
so kāyassa bhedā paraṃ	123
sikkhāpadaṃ uddisantu yā pana	123
ye hi keci bhikkhave	122
ye hi keci bhikkhave	122
sattā kāya bheda paraṃ	121
paṭhamaṃ jhāna upasampajja viharati	121
tenupasaṅkamiṃsu upasaṅkamitvā bhagavantaṃ abhivādetvā	121
uddisantu yā pana bhikkhunī	121
sattā kāyassa bhedā paraṃ	121
bhagavant abhivādetvā padakkhiṇaṃ katvā	119
ekamantaṃ aṭṭhāsi ekamantaṃ ṭhita	119
aṭṭhāsi ekamantaṃ ṭhita kho	119
manāpa piyarūpa kāmūpasaṃhita rajanīya	119
bhikkhave pañcahi dhammehi samannāgato	119
bhagavantaṃ abhivādetvā padakkhiṇaṃ katvā	119
vedanā saññā saṅkhāra viññāṇa	117
pañca bhikkhave dhamma samannāgata	117
tā ujjhāyanti khiyyanti vipācenti	117
pana samaya chabbaggiya bhikkhū	117
bhagavā tenupasaṅkami upasaṅkamitvā bhagavatā	117
samaya bhagavā rājagaha viharati	117
tā ujjhāyanti khiyyanti vipācenti	117
samayaṃ bhagavā rājagahe viharati	117
pana samayena chabbaggiyā bhikkhū	117
eka samaya bhagavā rājagaha	116
tenupasaṅkami upasaṅkamitvā bhagavatā saddhiṃ	116
yā tā bhikkhunī appiccha	116
yā tā bhikkhuniyo appicchā	116
ekamantaṃ nisinna kho so	115
ekaṃ samayaṃ bhagavā rājagahe	115
ekamantaṃ nisinno kho so	115
kho te bhikkhū bhagavato	114
yā panāti yā yādisa	114
vā adukkhamasukha vā tampi	114
samaṇa khalu bho gotama	114
vā adukkhamasukhaṃ vā tampi	114
bhagavantaṃ abhivādetvā ekamantaṃ nisīdiṃsu	114
kho te bhikkhū bhagavato	114
yā panāti yā yādisā	114
appiccha pe tā ujjhāyanti	113
dhāretu ajjatagge pāṇupeta saraṇa	113
bhagavatā iti me sutanti	113
vutta bhagavatā iti me	113
assādañca ādīnavañca nissaraṇañca yathābhūtaṃ	113
pe tā ujjhāyanti khiyyanti	113
tā bhikkhunī appiccha pe	113
bhikkhunī appiccha pe tā	113
upasaṅkamitvā bhagavatā saddhiṃ sammodi	113
panāti yā yādisa pe	113
appicchā pe tā ujjhāyanti	113
catutthaṃ jhānaṃ upasampajja viharati	113
vutto bhagavatā iti me	113
bhagavatā iti me sutanti	113
ayaṃ imasmiṃ atthe adhippetā	113
assādañca ādīnavañca nissaraṇañca yathābhūtaṃ	113
pe tā ujjhāyanti khiyyanti	113
panāti yā yādisā pe	113
tā bhikkhuniyo appicchā pe	113
bhikkhuniyo appicchā pe tā	113
attha vutta bhagavatā iti	112
vuttañhetaṃ bhagavatā vuttamarahatāti me	112
ayampi attha vutta bhagavatā	112
bhagavatā vuttamarahatāti me sutaṃ	112
bhagavā avoca tatthetaṃ iti	112
avoca tatthetaṃ iti vuccati	112
imasmiṃ attha adhippeta bhikkhunīti	112
ayampi attho vutto bhagavatā	112
bhagavatā vuttamarahatāti me sutaṃ	112
vuttañhetaṃ bhagavatā vuttamarahatāti me	112
bhagavā avoca tatthetaṃ iti	112
attho vutto bhagavatā iti	112
avoca tatthetaṃ iti vuccati	112
imasmiṃ atthe adhippetā bhikkhunīti	112
ohāretvā kāsāya vattha acchādetvā	111
pe bhikkhunīti pe ayaṃ	111
upasaṅkamitvā paññatta āsana nisīdi	111
kho rājā pasenadi kosala	111
yā yādisa pe bhikkhunīti	111
bhikkhunīti pe ayaṃ imasmiṃ	111
tenupasaṅkami upasaṅkamitvā paññatta āsana	111
yādisa pe bhikkhunīti pe	111
kesamassu ohāretvā kāsāya vattha	111
yā yādisā pe bhikkhunīti	111
ohāretvā kāsāyāni vatthāni acchādetvā	111
yādisā pe bhikkhunīti pe	111
bhikkhunīti pe ayaṃ imasmiṃ	111
kesamassuṃ ohāretvā kāsāyāni vatthāni	111
kho rājā pasenadi kosalo	111
pe bhikkhunīti pe ayaṃ	111
abhivādetvā ekamantaṃ nisīdiṃsu ekamantaṃ	110
atha kho bhikkhave vipassī	109
kāsāya vattha acchādetvā agāra	109
yaṃ taṃ vutta idametaṃ	109
taṃ vutta idametaṃ paṭicca	109
vattha acchādetvā agāra anagāriyaṃ	109
yaṃ taṃ vuttaṃ idametaṃ	109
kāsāyāni vatthāni acchādetvā agārasmā	109
taṃ vuttaṃ idametaṃ paṭicca	109
vatthāni acchādetvā agārasmā anagāriyaṃ	109
bhagavatā jānatā passanta arahatā	108
jānatā passanta arahatā sammāsambuddha	108
tena bhagavatā jānatā passanta	108
pañcannaṃ orambhāgiya saṃyojana parikkhaya	108
hoti kathañca bhikkhave bhikkhu	108
hoti kathañca bhikkhave bhikkhu	108
pañcannaṃ orambhāgiyānaṃ saṃyojanānaṃ parikkhayā	108
bhagavatā jānatā passatā arahatā	108
jānatā passatā arahatā sammāsambuddhena	108
tena bhagavatā jānatā passatā	108
yathābhataṃ nikkhitta evaṃ niraya	107
bhagavā tenupasaṅkami upasaṅkamitvā bhagavatā	107
ajjatagge pāṇupeta saraṇa gatanti	106
bhagavā bhikkhū āmantesi bhikkhavoti	106
iṭṭha kantā manāpa piyarūpa	106
dhāretu ajjatagge pāṇupetaṃ saraṇaṃ	106
paṭhamaṃ jhānaṃ upasampajja viharati	106
duggatiṃ vinipātaṃ nirayaṃ upapajjati	106
bhagavā bhikkhū āmantesi bhikkhavoti	106
iṭṭhā kantā manāpā piyarūpā	106
ajjatagge pāṇupetaṃ saraṇaṃ gatanti	106
tenupasaṅkami upasaṅkamitvā bhagavatā saddhiṃ	106
bhāsissāmīti evaṃ bhanteti kho	105
bhadanteti te bhikkhū bhagavato	105
ekamantaṃ nisinna kho te	105
evaṃ kho bhikkhave puggala	105
bhagavatā saddhiṃ sammodi sammodanīyaṃ	105
evaṃ kho bhikkhave puggalo	105
bhadanteti te bhikkhū bhagavato	105
bhāsissāmīti evaṃ bhanteti kho	105
āmantesi bhikkhavoti bhadanteti te	104
bhikkhavoti bhadanteti te bhikkhū	104
kantā manāpa piyarūpa kāmūpasaṃhita	104
kantā manāpā piyarūpā kāmūpasaṃhitā	104
bhikkhavoti bhadanteti te bhikkhū	104
manāpā piyarūpā kāmūpasaṃhitā rajanīyā	104
āmantesi bhikkhavoti bhadanteti te	104
bhikkhū āmantesi bhikkhavoti bhadanteti	103
tenupasaṅkami upasaṅkamitvā paññatte āsane	103
bhikkhū āmantesi bhikkhavoti bhadanteti	103
upasaṅkamitvā bhagavatā saddhiṃ sammodi	103
kāmehi vivicca akusala dhamma	102
vivicceva kāmehi vivicca akusala	102
vivicceva kāmehi vivicca akusalehi	102
upasaṅkamitvā paññatte āsane nisīdi	102
kāmehi vivicca akusalehi dhammehi	102
bhikkhave dhamma samannāgata bhikkhu	101
bhikkhave dhammehi samannāgato bhikkhu	101
katama pañca idha bhikkhave	100
vutta kiñcetaṃ paṭicca vutta	100
kho panetaṃ vutta kiñcetaṃ	100
vutta idametaṃ paṭicca vutta	100
panetaṃ vutta kiñcetaṃ paṭicca	100
ekamantaṃ nisīdiṃsu ekamantaṃ nisinnā	100
pañcahi bhikkhave dhammehi samannāgato	100
panetaṃ vuttaṃ kiñcetaṃ paṭicca	100
nisīdiṃsu ekamantaṃ nisinnā kho	100
vuttaṃ idametaṃ paṭicca vuttaṃ	100
kho panetaṃ vuttaṃ kiñcetaṃ	100
vuttaṃ kiñcetaṃ paṭicca vuttaṃ	100
loka samāraka sabrahmaka sassamaṇabrāhmaṇa	99
rājagaha viharati veḷuvana kalandakanivāpa	99
pe ayaṃ dukkhanirodhagāmī paṭipadāti	99
syā kaṃ pī ka	99
vāti anicca bhante yaṃ	99
evameva kho bhikkhave bhikkhu	99
vivicca akusala dhamma savitakka	99
vivicca akusalehi dhammehi savitakkaṃ	99
evameva kho bhikkhave bhikkhu	99
pe ayaṃ dukkhanirodhagāminī paṭipadāti	99
syā kaṃ pī ka	99
dhamma savitakka savicāra vivekaja	98
vipula mahaggata appamāṇa avera	98
akusala dhamma savitakka savicāra	98
vivekaja pītisukha paṭhamaṃ jhāna	98
puggala santo saṃvijjamāna loka	98
savicāra vivekaja pītisukha paṭhamaṃ	98
savitakka savicāra vivekaja pītisukha	98
vivekajaṃ pītisukhaṃ paṭhamaṃ jhānaṃ	98
savitakkaṃ savicāraṃ vivekajaṃ pītisukhaṃ	98
savicāraṃ vivekajaṃ pītisukhaṃ paṭhamaṃ	98
dhammehi savitakkaṃ savicāraṃ vivekajaṃ	98
vipulena mahaggatena appamāṇena averena	98
akusalehi dhammehi savitakkaṃ savicāraṃ	98
puggalā santo saṃvijjamānā lokasmiṃ	98
pācittiyanti yā panāti yā	97
yo panāti yo yādisa	97
pītisukha paṭhamaṃ jhāna upasampajja	97
imasmiṃ attha adhippeta bhikkhūti	97
anicca bhante yaṃ panāniccaṃ	97
imasmiṃ atthe adhippeto bhikkhūti	97
yo panāti yo yādiso	97
pītisukhaṃ paṭhamaṃ jhānaṃ upasampajja	97
pācittiyanti yā panāti yā	97
rājagahe viharati veḷuvane kalandakanivāpe	97
panāti yo yādisa pe	96
dve vassa chasu dhamma	96
yo yādisa pe bhikkhūti	96
majjhekalyāṇa pariyosānakalyāṇa sāttha sabyañjana	96
dhamma samannāgata yathābhataṃ nikkhitta	96
vāti anicca bhante pe	96
samannāgata yathābhataṃ nikkhitta evaṃ	96
yādisa pe bhikkhūti pe	96
santo saṃvijjamāna loka katama	96
ādikalyāṇa majjhekalyāṇa pariyosānakalyāṇa sāttha	96
yo yādiso pe bhikkhūti	96
dhammehi samannāgato yathābhataṃ nikkhitto	96
dve vassāni chasu dhammesu	96
ayaṃ imasmiṃ atthe adhippeto	96
panāti yo yādiso pe	96
samannāgato yathābhataṃ nikkhitto evaṃ	96
santo saṃvijjamānā lokasmiṃ katame	96
yādiso pe bhikkhūti pe	96
kho bhikkhave vipassī bodhisatta	95
ayaṃ dukkhanirodhagāmī paṭipadāti yathābhūtaṃ	95
ime kho bhikkhave dve	95
atta ca loka ca	95
bhikkhūti pe ayaṃ imasmiṃ	95
pe bhikkhūti pe ayaṃ	95
ime kho bhikkhave dve	95
bhikkhūti pe ayaṃ imasmiṃ	95
ayaṃ dukkhanirodhagāminī paṭipadāti yathābhūtaṃ	95
attā ca loko ca	95
pe bhikkhūti pe ayaṃ	95
keci bhikkhave samaṇa vā	94
samaṇo khalu bho gotamo	94
keci bhikkhave samaṇā vā	94
gāma vā nigama vā	93
katama cattāro idha bhikkhave	93
yaṃ panāniccaṃ dukkhaṃ vipariṇāmadhamma	93
suṇāti sādhukaṃ manasi karoti	93
suṇātha sādhukaṃ manasi karotha	93
atha kho bhikkhave vipassissa	93
katame cattāro idha bhikkhave	93
yaṃ panāniccaṃ dukkhaṃ vipariṇāmadhammaṃ	93
evaṃ bhanteti kho te	92
anuttara purisadammasārathi satthā devamanussā	92
vā taṃ sukhaṃ vāti	92
vijjācaraṇasampanna sugata lokavidū anuttara	92
sugata lokavidū anuttara purisadammasārathi	92
sabrahmaka sassamaṇabrāhmaṇa pajāya sadevamanussa	92
atthaṅgamañca assādañca ādīnavañca nissaraṇañca	92
purisadammasārathi satthā devamanussā buddha	92
taṃ sukhaṃ vāti dukkhaṃ	92
dukkhaṃ vā taṃ sukhaṃ	92
samāraka sabrahmaka sassamaṇabrāhmaṇa pajāya	92
lokavidū anuttara purisadammasārathi satthā	92
arahaṃ sammāsambuddha vijjācaraṇasampanna sugata	92
panāniccaṃ dukkhaṃ vā taṃ	92
yaṃ panāniccaṃ dukkhaṃ vā	92
sammāsambuddha vijjācaraṇasampanna sugata lokavidū	92
samudayañca atthaṅgamañca assādañca ādīnavañca	92
dhammānupassī viharati ātāpī sampajāna	92
yaṃ panāniccaṃ dukkhaṃ vā	92
sammāsambuddho vijjācaraṇasampanno sugato lokavidū	92
kho bhikkhave vipassissa bodhisattassa	92
sugato lokavidū anuttaro purisadammasārathi	92
arahaṃ sammāsambuddho vijjācaraṇasampanno sugato	92
purisadammasārathi satthā devamanussānaṃ buddho	92
dukkhaṃ vā taṃ sukhaṃ	92
vijjācaraṇasampanno sugato lokavidū anuttaro	92
evaṃ bhanteti kho te	92
samudayañca atthaṅgamañca assādañca ādīnavañca	92
anuttaro purisadammasārathi satthā devamanussānaṃ	92
vā taṃ sukhaṃ vāti	92
atthaṅgamañca assādañca ādīnavañca nissaraṇañca	92
lokavidū anuttaro purisadammasārathi satthā	92
panāniccaṃ dukkhaṃ vā taṃ	92
taṃ sukhaṃ vāti dukkhaṃ	92
kāyānupassī viharati ātāpī sampajāna	91
bhanteti kho te bhikkhū	91
āyasmā ānanda bhagavant etadavoca	91
parisuddha pariyodāta anaṅgaṇa vigatūpakkilesa	91
āyasmā ānando bhagavantaṃ etadavoca	91
bhanteti kho te bhikkhū	91
yathābhataṃ nikkhitto evaṃ niraye	91
abhiññā sacchikatvā upasampajja viharati	91
nisinna kho te bhikkhū	90
evametaṃ yathābhūtaṃ sammappaññāya daṭṭhabba	90
vāti dukkhaṃ bhante yaṃ	90
sukhaṃ vāti dukkhaṃ bhante	90
bhikkhu kāye kāyānupassī viharati	90
uṭṭhāyāsanā bhagavant abhivādetvā padakkhiṇaṃ	90
dukkhaṃ bhante yaṃ panāniccaṃ	90
vāti dukkhaṃ bhante yaṃ	90
sukhaṃ vāti dukkhaṃ bhante	90
dukkhaṃ bhante yaṃ panāniccaṃ	90
uṭṭhāyāsanā bhagavantaṃ abhivādetvā padakkhiṇaṃ	90
evametaṃ yathābhūtaṃ sammappaññāya daṭṭhabbaṃ	90
sādhukaṃ manasi karoti bhāsissāmīti	89
pe katama ca bhikkhave	89
abhivādetvā ekamantaṃ aṭṭhāsi ekamantaṃ	89
sādhukaṃ manasi karotha bhāsissāmīti	89
atha kho bhagavā etamatthaṃ	88
kho bhagavā etamatthaṃ viditvā	88
sāttha sabyañjana kevalaparipuṇṇa parisuddha	88
