sentence	count
pe evañca pana bhikkhave bhikkhuniyo imaṃ sikkhāpadaṃ uddisantu yā	115
uppajjati vedayita sukhaṃ vā dukkhaṃ vā adukkhamasukha vā tampi	114
uppajjati vedayitaṃ sukhaṃ vā dukkhaṃ vā adukkhamasukhaṃ vā tampi	114
moghapurisa appasanna vā pasāda pe evañca pana bhikkhave imaṃ	113
yā tā bhikkhunī appiccha pe tā ujjhāyanti khiyyanti vipācenti	113
netaṃ moghapurisa appasanna vā pasāda pe evañca pana bhikkhave	113
viharati jetavana anāthapiṇḍika ārāma tena kho pana samaya chabbaggiya	113
yā tā bhikkhuniyo appicchā pe tā ujjhāyanti khiyyanti vipācenti	113
viharati jetavane anāthapiṇḍikassa ārāme tena kho pana samayena chabbaggiyā	113
yena bhagavā tenupasaṅkami upasaṅkamitvā bhagavatā saddhiṃ sammodi sammodanīya kathaṃ	112
bhikkhunī appiccha pe tā ujjhāyanti khiyyanti vipācenti kathañhi nāma	112
tā bhikkhunī appiccha pe tā ujjhāyanti khiyyanti vipācenti kathañhi	112
tā bhikkhuniyo appicchā pe tā ujjhāyanti khiyyanti vipācenti kathañhi	112
bhikkhuniyo appicchā pe tā ujjhāyanti khiyyanti vipācenti kathañhi nāma	112
panāti yā yādisa pe bhikkhunīti pe ayaṃ imasmiṃ attha	111
yā panāti yā yādisa pe bhikkhunīti pe ayaṃ imasmiṃ	111
yā yādisa pe bhikkhunīti pe ayaṃ imasmiṃ attha adhippeta	111
yādisa pe bhikkhunīti pe ayaṃ imasmiṃ attha adhippeta bhikkhunīti	111
bhagavatā saddhiṃ sammodi sammodanīya kathaṃ sāraṇīya vītisāretvā ekamantaṃ nisīdi	111
yā panāti yā yādisā pe bhikkhunīti pe ayaṃ imasmiṃ	111
yā yādisā pe bhikkhunīti pe ayaṃ imasmiṃ atthe adhippetā	111
panāti yā yādisā pe bhikkhunīti pe ayaṃ imasmiṃ atthe	111
yādisā pe bhikkhunīti pe ayaṃ imasmiṃ atthe adhippetā bhikkhunīti	111
bhagavā tenupasaṅkami upasaṅkamitvā bhagavatā saddhiṃ sammodi sammodanīya kathaṃ sāraṇīya	110
tenupasaṅkami upasaṅkamitvā bhagavatā saddhiṃ sammodi sammodanīya kathaṃ sāraṇīya vītisāretvā	108
upasaṅkamitvā bhagavatā saddhiṃ sammodi sammodanīya kathaṃ sāraṇīya vītisāretvā ekamantaṃ	107
kāyassa bhedā paraṃ maraṇā apāyaṃ duggatiṃ vinipātaṃ nirayaṃ upapajjati	105
āmantesi bhikkhavoti bhadanteti te bhikkhū bhagavato paccassosi bhagavā etadavoca	104
āmantesi bhikkhavoti bhadanteti te bhikkhū bhagavato paccassosuṃ bhagavā etadavoca	104
bhikkhū āmantesi bhikkhavoti bhadanteti te bhikkhū bhagavato paccassosi bhagavā	103
bhikkhū āmantesi bhikkhavoti bhadanteti te bhikkhū bhagavato paccassosuṃ bhagavā	103
yena bhagavā tenupasaṅkami upasaṅkamitvā bhagavatā saddhiṃ sammodi sammodanīyaṃ kathaṃ	102
bhagavā bhikkhū āmantesi bhikkhavoti bhadanteti te bhikkhū bhagavato paccassosi	101
kho bhagavā bhikkhū āmantesi bhikkhavoti bhadanteti te bhikkhū bhagavato	101
bhagavā bhikkhū āmantesi bhikkhavoti bhadanteti te bhikkhū bhagavato paccassosuṃ	101
kho bhagavā bhikkhū āmantesi bhikkhavoti bhadanteti te bhikkhū bhagavato	101
bhagavā tenupasaṅkami upasaṅkamitvā bhagavatā saddhiṃ sammodi sammodanīyaṃ kathaṃ sāraṇīyaṃ	101
tatra kho bhagavā bhikkhū āmantesi bhikkhavoti bhadanteti te bhikkhū	100
tatra kho bhagavā bhikkhū āmantesi bhikkhavoti bhadanteti te bhikkhū	100
cetovimutti paññāvimutti diṭṭheva dhamma sayaṃ abhiññā sacchikatvā upasampajja viharati	99
tenupasaṅkami upasaṅkamitvā bhagavatā saddhiṃ sammodi sammodanīyaṃ kathaṃ sāraṇīyaṃ vītisāretvā	99
jetavana anāthapiṇḍika ārāma tena kho pana samaya chabbaggiya bhikkhū	98
pe evañca pana bhikkhave imaṃ sikkhāpada uddisati yo pana	98
vivicca akusala dhamma savitakka savicāra vivekaja pītisukha paṭhamaṃ jhāna	98
kāmehi vivicca akusala dhamma savitakka savicāra vivekaja pītisukha paṭhamaṃ	98
vivicceva kāmehi vivicca akusala dhamma savitakka savicāra vivekaja pītisukha	98
upasaṅkamitvā bhagavatā saddhiṃ sammodi sammodanīyaṃ kathaṃ sāraṇīyaṃ vītisāretvā ekamantaṃ	98
pe evañca pana bhikkhave imaṃ sikkhāpadaṃ uddiseyyātha yo pana	98
vivicca akusalehi dhammehi savitakkaṃ savicāraṃ vivekajaṃ pītisukhaṃ paṭhamaṃ jhānaṃ	98
vivicceva kāmehi vivicca akusalehi dhammehi savitakkaṃ savicāraṃ vivekajaṃ pītisukhaṃ	98
jetavane anāthapiṇḍikassa ārāme tena kho pana samayena chabbaggiyā bhikkhū	98
kāmehi vivicca akusalehi dhammehi savitakkaṃ savicāraṃ vivekajaṃ pītisukhaṃ paṭhamaṃ	98
akusala dhamma savitakka savicāra vivekaja pītisukha paṭhamaṃ jhāna upasampajja	97
akusalehi dhammehi savitakkaṃ savicāraṃ vivekajaṃ pītisukhaṃ paṭhamaṃ jhānaṃ upasampajja	97
panāti yo yādisa pe bhikkhūti pe ayaṃ imasmiṃ attha	95
yo yādisa pe bhikkhūti pe ayaṃ imasmiṃ attha adhippeta	95
yādisa pe bhikkhūti pe ayaṃ imasmiṃ attha adhippeta bhikkhūti	95
yo panāti yo yādisa pe bhikkhūti pe ayaṃ imasmiṃ	95
pācittiyanti yā panāti yā yādisa pe bhikkhunīti pe ayaṃ	95
yo panāti yo yādiso pe bhikkhūti pe ayaṃ imasmiṃ	95
pācittiyanti yā panāti yā yādisā pe bhikkhunīti pe ayaṃ	95
yādiso pe bhikkhūti pe ayaṃ imasmiṃ atthe adhippeto bhikkhūti	95
panāti yo yādiso pe bhikkhūti pe ayaṃ imasmiṃ atthe	95
yo yādiso pe bhikkhūti pe ayaṃ imasmiṃ atthe adhippeto	95
yena bhagavā tenupasaṅkamiṃsu upasaṅkamitvā bhagavantaṃ abhivādetvā ekamantaṃ nisīdiṃsu ekamantaṃ	94
arahaṃ sammāsambuddha vijjācaraṇasampanna sugata lokavidū anuttara purisadammasārathi satthā devamanussā	92
sammāsambuddha vijjācaraṇasampanna sugata lokavidū anuttara purisadammasārathi satthā devamanussā buddha	92
arahaṃ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṃ	92
sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṃ buddho	92
vā taṃ sukhaṃ vāti dukkhaṃ bhante yaṃ panāniccaṃ dukkhaṃ	90
pasāda pe evañca pana bhikkhave imaṃ sikkhāpada uddisati yo	90
yaṃ panāniccaṃ dukkhaṃ vā taṃ sukhaṃ vāti dukkhaṃ bhante	90
dukkhaṃ vā taṃ sukhaṃ vāti dukkhaṃ bhante yaṃ panāniccaṃ	90
anicca bhante yaṃ panāniccaṃ dukkhaṃ vā taṃ sukhaṃ vāti	90
vā anicca vāti anicca bhante yaṃ panāniccaṃ dukkhaṃ vā	90
anicca vāti anicca bhante yaṃ panāniccaṃ dukkhaṃ vā taṃ	90
vāti anicca bhante yaṃ panāniccaṃ dukkhaṃ vā taṃ sukhaṃ	90
bhante yaṃ panāniccaṃ dukkhaṃ vā taṃ sukhaṃ vāti dukkhaṃ	90
panāniccaṃ dukkhaṃ vā taṃ sukhaṃ vāti dukkhaṃ bhante yaṃ	90
taṃ sukhaṃ vāti dukkhaṃ bhante yaṃ panāniccaṃ dukkhaṃ vipariṇāmadhamma	90
panāniccaṃ dukkhaṃ vā taṃ sukhaṃ vāti dukkhaṃ bhante yaṃ	90
vā taṃ sukhaṃ vāti dukkhaṃ bhante yaṃ panāniccaṃ dukkhaṃ	90
dukkhaṃ vā taṃ sukhaṃ vāti dukkhaṃ bhante yaṃ panāniccaṃ	90
bhagavatā saddhiṃ sammodi sammodanīyaṃ kathaṃ sāraṇīyaṃ vītisāretvā ekamantaṃ nisīdi	90
taṃ sukhaṃ vāti dukkhaṃ bhante yaṃ panāniccaṃ dukkhaṃ vipariṇāmadhammaṃ	90
bhante yaṃ panāniccaṃ dukkhaṃ vā taṃ sukhaṃ vāti dukkhaṃ	90
pasādāya pe evañca pana bhikkhave imaṃ sikkhāpadaṃ uddiseyyātha yo	90
yaṃ panāniccaṃ dukkhaṃ vā taṃ sukhaṃ vāti dukkhaṃ bhante	90
mama nesohamasmi na meso attāti evametaṃ yathābhūtaṃ sammappaññāya daṭṭhabba	89
mama nesohamasmi na meso attāti evametaṃ yathābhūtaṃ sammappaññāya daṭṭhabbaṃ	89
samāhita citta parisuddha pariyodāta anaṅgaṇa vigatūpakkilesa mudubhūta kammaniya ṭhita	87
citta parisuddha pariyodāta anaṅgaṇa vigatūpakkilesa mudubhūta kammaniya ṭhita āneñjappatta	87
evaṃ samāhita citta parisuddha pariyodāta anaṅgaṇa vigatūpakkilesa mudubhūta kammaniya	87
cetovimuttiṃ paññāvimuttiṃ diṭṭheva dhamme sayaṃ abhiññā sacchikatvā upasampajja viharati	87
samāhite citte parisuddhe pariyodāte anaṅgaṇe vigatūpakkilese mudubhūte kammaniye ṭhite	87
evaṃ samāhite citte parisuddhe pariyodāte anaṅgaṇe vigatūpakkilese mudubhūte kammaniye	87
citte parisuddhe pariyodāte anaṅgaṇe vigatūpakkilese mudubhūte kammaniye ṭhite āneñjappatte	87
bhagavā tenupasaṅkami upasaṅkamitvā bhagavantaṃ abhivādetvā ekamantaṃ nisīdi ekamantaṃ nisinnaṃ	85
tenupasaṅkami upasaṅkamitvā bhagavantaṃ abhivādetvā ekamantaṃ nisīdi ekamantaṃ nisinnaṃ kho	85
dhamma savitakka savicāra vivekaja pītisukha paṭhamaṃ jhāna upasampajja viharati	84
kāye kāyānupassī viharati ātāpī sampajāna satimant vineyya loka abhijjhādomanassa	84
dhamma dhammānupassī viharati ātāpī sampajāna satimant vineyya loka abhijjhādomanassa	83
kho bhagavā etamatthaṃ viditvā tāyaṃ velā imaṃ udānaṃ udānesi	81
atha kho bhagavā etamatthaṃ viditvā tāyaṃ velā imaṃ udānaṃ	81
atha kho bhagavā etamatthaṃ viditvā tāyaṃ velāyaṃ imaṃ udānaṃ	81
kho bhagavā etamatthaṃ viditvā tāyaṃ velāyaṃ imaṃ udānaṃ udānesi	81
samaya bhagavā sāvatthī viharati jetavana anāthapiṇḍika ārāma tena kho	80
eka samaya bhagavā sāvatthī viharati jetavana anāthapiṇḍika ārāma tena	80
samayaṃ bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa ārāme tena kho	80
ekaṃ samayaṃ bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa ārāme tena	80
so evaṃ samāhita citta parisuddha pariyodāta anaṅgaṇa vigatūpakkilesa mudubhūta	75
so evaṃ samāhite citte parisuddhe pariyodāte anaṅgaṇe vigatūpakkilese mudubhūte	75
yaṃ panāniccaṃ dukkhaṃ vipariṇāmadhamma kallaṃ nu taṃ samanupassituṃ etaṃ	74
panāniccaṃ dukkhaṃ vipariṇāmadhamma kallaṃ nu taṃ samanupassituṃ etaṃ mama	74
taṃ samanupassituṃ etaṃ mama esohamasmi eso me attāti no	74
vipariṇāmadhamma kallaṃ nu taṃ samanupassituṃ etaṃ mama esohamasmi eso	74
etaṃ mama esohamasmi eso me attāti no hetaṃ bhante	74
kallaṃ nu taṃ samanupassituṃ etaṃ mama esohamasmi eso me	74
kāyānupassī viharati ātāpī sampajāna satimant vineyya loka abhijjhādomanassa vedanā	74
nu taṃ samanupassituṃ etaṃ mama esohamasmi eso me attāti	74
dukkhaṃ vipariṇāmadhamma kallaṃ nu taṃ samanupassituṃ etaṃ mama esohamasmi	74
etaṃ mama esohamasmi eso me attāti no hetaṃ bhante	74
panāniccaṃ dukkhaṃ vipariṇāmadhammaṃ kallaṃ nu taṃ samanupassituṃ etaṃ mama	74
nu taṃ samanupassituṃ etaṃ mama esohamasmi eso me attāti	74
taṃ samanupassituṃ etaṃ mama esohamasmi eso me attāti no	74
yaṃ panāniccaṃ dukkhaṃ vipariṇāmadhammaṃ kallaṃ nu taṃ samanupassituṃ etaṃ	74
dukkhaṃ vipariṇāmadhammaṃ kallaṃ nu taṃ samanupassituṃ etaṃ mama esohamasmi	74
kallaṃ nu taṃ samanupassituṃ etaṃ mama esohamasmi eso me	74
vipariṇāmadhammaṃ kallaṃ nu taṃ samanupassituṃ etaṃ mama esohamasmi eso	74
pabbajanti tadanuttaraṃ brahmacariyapariyosāna diṭṭheva dhamma sayaṃ abhiññā sacchikatvā upasampajja	73
bhāsissāmīti evaṃ bhanteti kho te bhikkhū bhagavato paccassosi bhagavā	73
evaṃ bhanteti kho te bhikkhū bhagavato paccassosi bhagavā etadavoca	73
pabbajanti tadanuttaraṃ brahmacariyapariyosānaṃ diṭṭheva dhamme sayaṃ abhiññā sacchikatvā upasampajja	73
evaṃ bhanteti kho te bhikkhū bhagavato paccassosuṃ bhagavā etadavoca	73
bhāsissāmīti evaṃ bhanteti kho te bhikkhū bhagavato paccassosuṃ bhagavā	73
bhante yaṃ panāniccaṃ dukkhaṃ vipariṇāmadhamma kallaṃ nu taṃ samanupassituṃ	72
vāti dukkhaṃ bhante yaṃ panāniccaṃ dukkhaṃ vipariṇāmadhamma kallaṃ nu	72
anagāriyaṃ pabbajanti tadanuttaraṃ brahmacariyapariyosāna diṭṭheva dhamma sayaṃ abhiññā sacchikatvā	72
sukhaṃ vāti dukkhaṃ bhante yaṃ panāniccaṃ dukkhaṃ vipariṇāmadhamma kallaṃ	72
agāra anagāriyaṃ pabbajanti tadanuttaraṃ brahmacariyapariyosāna diṭṭheva dhamma sayaṃ abhiññā	72
samanupassituṃ etaṃ mama esohamasmi eso me attāti no hetaṃ	72
sammadeva agāra anagāriyaṃ pabbajanti tadanuttaraṃ brahmacariyapariyosāna diṭṭheva dhamma sayaṃ	72
kulaputta sammadeva agāra anagāriyaṃ pabbajanti tadanuttaraṃ brahmacariyapariyosāna diṭṭheva dhamma	72
dukkhaṃ bhante yaṃ panāniccaṃ dukkhaṃ vipariṇāmadhamma kallaṃ nu taṃ	72
agārasmā anagāriyaṃ pabbajanti tadanuttaraṃ brahmacariyapariyosānaṃ diṭṭheva dhamme sayaṃ abhiññā	72
sukhaṃ vāti dukkhaṃ bhante yaṃ panāniccaṃ dukkhaṃ vipariṇāmadhammaṃ kallaṃ	72
samanupassituṃ etaṃ mama esohamasmi eso me attāti no hetaṃ	72
sammadeva agārasmā anagāriyaṃ pabbajanti tadanuttaraṃ brahmacariyapariyosānaṃ diṭṭheva dhamme sayaṃ	72
dukkhaṃ bhante yaṃ panāniccaṃ dukkhaṃ vipariṇāmadhammaṃ kallaṃ nu taṃ	72
kulaputtā sammadeva agārasmā anagāriyaṃ pabbajanti tadanuttaraṃ brahmacariyapariyosānaṃ diṭṭheva dhamme	72
vāti dukkhaṃ bhante yaṃ panāniccaṃ dukkhaṃ vipariṇāmadhammaṃ kallaṃ nu	72
anagāriyaṃ pabbajanti tadanuttaraṃ brahmacariyapariyosānaṃ diṭṭheva dhamme sayaṃ abhiññā sacchikatvā	72
bhante yaṃ panāniccaṃ dukkhaṃ vipariṇāmadhammaṃ kallaṃ nu taṃ samanupassituṃ	72
upapajjamāna hīna paṇīta suvaṇṇa dubbaṇṇa sugata duggata yathākammūpaga satta	71
upasaṅkamitvā bhagavant abhivādetvā ekamantaṃ nisīdi ekamantaṃ nisinna kho te	71
cavamāna upapajjamāna hīna paṇīta suvaṇṇa dubbaṇṇa sugata duggata yathākammūpaga	71
samaya bhagavā sāvatthī viharati jetavana anāthapiṇḍika ārāma atha kho	71
cavamāne upapajjamāne hīne paṇīte suvaṇṇe dubbaṇṇe sugate duggate yathākammūpage	71
upapajjamāne hīne paṇīte suvaṇṇe dubbaṇṇe sugate duggate yathākammūpage satte	71
tathā tatiyaṃ tathā catutthaṃ iti uddhamadho tiriyaṃ sabbadhi sabbattata	70
tathā catutthaṃ iti uddhamadho tiriyaṃ sabbadhi sabbattata sabbāvant loka	70
dutiyaṃ tathā tatiyaṃ tathā catutthaṃ iti uddhamadho tiriyaṃ sabbadhi	70
eka samaya bhagavā sāvatthī viharati jetavana anāthapiṇḍika ārāma atha	70
samaya bhagavā sāvatthī viharati jetavana anāthapiṇḍika ārāma tatra kho	70
eka samaya bhagavā sāvatthī viharati jetavana anāthapiṇḍika ārāma tatra	70
tathā dutiyaṃ tathā tatiyaṃ tathā catutthaṃ iti uddhamadho tiriyaṃ	70
tatiyaṃ tathā catutthaṃ iti uddhamadho tiriyaṃ sabbadhi sabbattata sabbāvant	70
hoti khīṇa jāti vusita brahmacariyaṃ kata karaṇīya nāpara itthattāyāti	70
tatiyaṃ tathā catutthaṃ iti uddhamadho tiriyaṃ sabbadhi sabbattatāya sabbāvantaṃ	70
dutiyaṃ tathā tatiyaṃ tathā catutthaṃ iti uddhamadho tiriyaṃ sabbadhi	70
tathā dutiyaṃ tathā tatiyaṃ tathā catutthaṃ iti uddhamadho tiriyaṃ	70
hoti khīṇā jāti vusitaṃ brahmacariyaṃ kataṃ karaṇīyaṃ nāparaṃ itthattāyāti	70
tathā catutthaṃ iti uddhamadho tiriyaṃ sabbadhi sabbattatāya sabbāvantaṃ lokaṃ	70
tathā tatiyaṃ tathā catutthaṃ iti uddhamadho tiriyaṃ sabbadhi sabbattatāya	70
ekaṃ samayaṃ bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa ārāme atha	70
samayaṃ bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa ārāme tatra kho	70
samayaṃ bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa ārāme atha kho	70
niccaṃ vā anicca vāti anicca bhante yaṃ panāniccaṃ dukkhaṃ	69
evamidhekacca sattā kāya bheda paraṃ maraṇa sugatiṃ sagga loka	69
kāye kāyānupassī viharati ātāpī sampajāno satimā vineyya loke abhijjhādomanassaṃ	69
vāti aniccaṃ bhante yaṃ panāniccaṃ dukkhaṃ vā taṃ sukhaṃ	69
niccaṃ vā aniccaṃ vāti aniccaṃ bhante yaṃ panāniccaṃ dukkhaṃ	69
dhammesu dhammānupassī viharati ātāpī sampajāno satimā vineyya loke abhijjhādomanassaṃ	69
vā aniccaṃ vāti aniccaṃ bhante yaṃ panāniccaṃ dukkhaṃ vā	69
evamidhekacce sattā kāyassa bhedā paraṃ maraṇā sugatiṃ saggaṃ lokaṃ	69
aniccaṃ vāti aniccaṃ bhante yaṃ panāniccaṃ dukkhaṃ vā taṃ	69
aniccaṃ bhante yaṃ panāniccaṃ dukkhaṃ vā taṃ sukhaṃ vāti	69
dhammehi savitakkaṃ savicāraṃ vivekajaṃ pītisukhaṃ paṭhamaṃ jhānaṃ upasampajja viharati	69
ekaṃ samayaṃ bhagavā sāvatthiyaṃ viharati jetavane anāthapiṇḍikassa ārāme tatra	69
bhagavā arahaṃ sammāsambuddha vijjācaraṇasampanna sugata lokavidū anuttara purisadammasārathi satthā	68
evaṃnāma evaṃgotta evaṃvaṇṇa evamāhāra evaṃsukhadukkhappaṭisaṃvedī evamāyupariyanta so tato cuta	68
so bhagavā arahaṃ sammāsambuddha vijjācaraṇasampanna sugata lokavidū anuttara purisadammasārathi	68
itipi so bhagavā arahaṃ sammāsambuddha vijjācaraṇasampanna sugata lokavidū anuttara	68
bhagavā arahaṃ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā	68
so bhagavā arahaṃ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi	68
evaṃnāmo evaṃgotto evaṃvaṇṇo evamāhāro evaṃsukhadukkhappaṭisaṃvedī evamāyupariyanto so tato cuto	68
itipi so bhagavā arahaṃ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro	68
pācittiyanti yo panāti yo yādisa pe bhikkhūti pe ayaṃ	67
bhagavāti vigarahi buddha bhagavā pe kathañhi nāma tumhe moghapurisa	67
yassatthāya kulaputta sammadeva agāra anagāriyaṃ pabbajanti tadanuttaraṃ brahmacariyapariyosāna diṭṭheva	67
passati cavamāna upapajjamāna hīna paṇīta suvaṇṇa dubbaṇṇa sugata duggata	67
satta passati cavamāna upapajjamāna hīna paṇīta suvaṇṇa dubbaṇṇa sugata	67
pācittiyanti yo panāti yo yādiso pe bhikkhūti pe ayaṃ	67
bhagavāti vigarahi buddho bhagavā pe kathañhi nāma tumhe moghapurisā	67
yassatthāya kulaputtā sammadeva agārasmā anagāriyaṃ pabbajanti tadanuttaraṃ brahmacariyapariyosānaṃ diṭṭheva	67
atikkantamānusaka satta passati cavamāna upapajjamāna hīna paṇīta suvaṇṇa dubbaṇṇa	66
vūpasama ajjhattaṃ sampasādana cetaso ekodibhāva avitakka avicāra samādhija pītisukha	66
